Month,Number_of_cases
Jan_6_2021,58780
Jan_5_2021,58749
Jan_4_2021,58721
Jan_3_2021,58697
Jan_2_2021,58662
Jan_1_2021,58629
Dec_31_2020,58599
Dec_30_2020,58569
Dec_29_2020,58542
Dec_28_2020,58529
Dec_27_2020,58524
Dec_26_2020,58519
Dec_25_2020,58509
Dec_24_2020,58495
Dec_23_2020,58482
Dec_22_2020,58461
Dec_21_2020,58432
Dec_20_2020,58422
Dec_19_2020,58403
Dec_18_2020,58386
Dec_17_2020,58377
Dec_16_2020,58353
Dec_15_2020,58341
Dec_14_2020,58325
Dec_13_2020,58320
Dec_12_2020,58313
Dec_11_2020,58305
Dec_10_2020,58297
Dec_9_2020,58291
Dec_8_2020,58285
Dec_7_2020,58273
Dec_6_2020,58260
Dec_5_2020,58255
Dec_4_2020,58242
Dec_3_2020,58239
Dec_2_2020,58230
Dec_1_2020,58228
Nov_30_2020,58218
Nov_29_2020,58213
Nov_28_2020,58205
Nov_27_2020,58199
Nov_26_2020,58195
Nov_25_2020,58190
Nov_24_2020,58183
Nov_23_2020,58165
Nov_22_2020,58160
Nov_21_2020,58148
Nov_20_2020,58143
Nov_19_2020,58139
Nov_18_2020,58135
Nov_17_2020,58130
Nov_16_2020,58124
Nov_15_2020,58119
Nov_14_2020,58116
Nov_13_2020,58114
Nov_12_2020,58102
Nov_11_2020,58091
Nov_10_2020,58073
Nov_9_2020,58064
Nov_8_2020,58056
Nov_7_2020,58054
Nov_6_2020,58047
Nov_5_2020,58043
Nov_4_2020,58036
Nov_3_2020,58029
Nov_2_2020,58020
Nov_1_2020,58019
Oct_31_2020,58015
Oct_30_2020,58003
Oct_29_2020,57994
Oct_28_2020,57987
Oct_27_2020,57980
Oct_26_2020,57973
Oct_25_2020,57970
Oct_24_2020,57965
Oct_23_2020,57951
Oct_22_2020,57941
Oct_21_2020,57933
Oct_20_2020,57921
Oct_19_2020,57915
Oct_18_2020,57911
Oct_17_2020,57904
Oct_16_2020,57901
Oct_15_2020,57892
Oct_14_2020,57889
Oct_13_2020,57884
Oct_12_2020,57880
Oct_11_2020,57876
Oct_10_2020,57866
Oct_9_2020,57859
Oct_8_2020,57849
Oct_7_2020,57840
Oct_6_2020,57830
Oct_5_2020,57819
Oct_4_2020,57812
Oct_3_2020,57800
Oct_2_2020,57794
Oct_1_2020,57784
Sep_30_2020,57765
Sep_29_2020,57742
Sep_28_2020,57715
Sep_27_2020,57700
Sep_26_2020,57685
Sep_25_2020,57665
Sep_24_2020,57654
Sep_23_2020,57639
Sep_22_2020,57627
Sep_21_2020,57606
Sep_20_2020,57576
Sep_19_2020,57558
Sep_18_2020,57543
Sep_17_2020,57532
Sep_16_2020,57514
Sep_15_2020,57488
Sep_14_2020,57454
Sep_13_2020,57406
Sep_12_2020,57357
Sep_11_2020,57315
Sep_10_2020,57229
Sep_9_2020,57166
Sep_8_2020,57091
Sep_7_2020,57044
Sep_6_2020,57022
Sep_5_2020,56982
Sep_4_2020,56948
Sep_3_2020,56908
Sep_2_2020,56860
Sep_1_2020,56852
Aug_31_2020,56812
Aug_30_2020,56771
Aug_29_2020,56717
Aug_28_2020,56666
Aug_27_2020,56572
Aug_26_2020,56495
Aug_25_2020,56435
Aug_24_2020,56404
Aug_23_2020,56353
Aug_22_2020,56266
Aug_21_2020,56216
Aug_20_2020,56099
Aug_19_2020,56031
Aug_18_2020,55938
Aug_17_2020,55838
Aug_16_2020,55747
Aug_15_2020,55661
Aug_14_2020,55580
Aug_13_2020,55497
Aug_12_2020,55395
Aug_11_2020,55353
Aug_10_2020,55292
Aug_9_2020,55104
Aug_8_2020,54929
Aug_7_2020,54797
Aug_6_2020,54555
Aug_5_2020,54254
Aug_4_2020,53346
Aug_3_2020,53051
Aug_2_2020,52825
Aug_1_2020,52512
Jul_31_2020,52205
Jul_30_2020,51809
Jul_29_2020,51531
Jul_28_2020,51197
Jul_27_2020,50838
Jul_26_2020,50369
Jul_25_2020,49888
Jul_24_2020,49375
Jul_23_2020,49098
Jul_22_2020,48744
Jul_21_2020,48434
Jul_20_2020,48035
Jul_19_2020,47912
Jul_18_2020,47655
Jul_17_2020,47453
Jul_16_2020,47126
Jul_15_2020,46878
Jul_14_2020,46629
Jul_13_2020,46283
Jul_12_2020,45961
Jul_11_2020,45783
Jul_10_2020,45613
Jul_9_2020,45423
Jul_8_2020,45298
Jul_7_2020,45140
Jul_6_2020,44983
Jul_5_2020,44800
Jul_4_2020,44664
Jul_3_2020,44479
Jul_2_2020,44310
Jul_1_2020,44122
Jun_30_2020,43907
Jun_29_2020,43661
Jun_28_2020,43459
Jun_27_2020,43246
Jun_26_2020,42955
Jun_25_2020,42736
Jun_24_2020,42623
Jun_23_2020,42432
Jun_22_2020,42313
Jun_21_2020,42095
Jun_20_2020,41833
Jun_19_2020,41615
Jun_18_2020,41473
Jun_17_2020,41216
Jun_16_2020,40969
Jun_15_2020,40818
Jun_14_2020,40604
Jun_13_2020,40197
Jun_12_2020,39850
Jun_11_2020,39387
Jun_10_2020,38965
Jun_9_2020,38514
Jun_8_2020,38296
Jun_7_2020,37910
Jun_6_2020,37527
Jun_5_2020,37183
Jun_4_2020,36922
Jun_3_2020,36405
Jun_2_2020,35836
Jun_1_2020,35292
May_31_2020,34884
May_30_2020,34366
May_29_2020,33860
May_28_2020,33249
May_27_2020,32876
May_26_2020,32343
May_25_2020,31960
May_24_2020,31616
May_23_2020,31068
May_22_2020,30426
May_21_2020,29812
May_20_2020,29364
May_19_2020,28794
May_18_2020,28343
May_17_2020,28038
May_16_2020,27356
May_15_2020,26891
May_14_2020,26098
May_13_2020,25346
May_12_2020,24671
May_11_2020,23787
May_10_2020,23336
May_9_2020,22460
May_8_2020,21707
May_7_2020,20939
May_6_2020,20198
May_5_2020,19410
May_4_2020,18778
May_3_2020,18205
May_2_2020,17548
May_1_2020,17101
Apr_30_2020,16169
Apr_29_2020,15641
Apr_28_2020,14951
Apr_27_2020,14423
Apr_26_2020,13624
Apr_25_2020,12693
Apr_24_2020,12075
Apr_23_2020,11178
Apr_22_2020,10141
Apr_21_2020,9125
Apr_20_2020,8014
Apr_19_2020,6588
Apr_18_2020,5992
Apr_17_2020,5050
Apr_16_2020,4427
Apr_15_2020,3699
Apr_14_2020,3252
Apr_13_2020,2918
Apr_12_2020,2532
Apr_11_2020,2299
Apr_10_2020,2108
Apr_9_2020,1910
Apr_8_2020,1623
Apr_7_2020,1481
Apr_6_2020,1375
Apr_5_2020,1309
Apr_4_2020,1189
Apr_3_2020,1114
Apr_2_2020,1049
Apr_1_2020,1000
Mar_31_2020,926
Mar_30_2020,879
Mar_29_2020,844
Mar_28_2020,802
Mar_27_2020,732
Mar_26_2020,683
Mar_25_2020,631
Mar_24_2020,558
Mar_23_2020,509
Mar_22_2020,455
Mar_21_2020,432
Mar_20_2020,385
Mar_19_2020,345
Mar_18_2020,313
Mar_17_2020,266
Mar_16_2020,243
Mar_15_2020,226
Mar_14_2020,212
Mar_13_2020,200
Mar_12_2020,187
Mar_11_2020,178
Mar_10_2020,166
Mar_9_2020,160
Mar_8_2020,150
Mar_7_2020,138
Mar_6_2020,130
Mar_5_2020,117
Mar_4_2020,112
Mar_3_2020,110
Mar_2_2020,108
Mar_1_2020,106
