County_in_United_States,Number_of_cases
New_York_City_N.Y.,212122
Nassau_N.Y.,40947
Suffolk_N.Y.,40377
Westchester_N.Y.,33999
Hudson_N.J.,18584
Passaic_N.J.,16461
Union_N.J.,16241
Rockland_N.Y.,13340
Orange_N.Y.,10538
Woodbury_Iowa,2939
McKinley_N.M.,2746
Marion_Ohio,2694
Pickaway_Ohio,2108
Ford_Kan.,1856
Walker_Texas,1851
Apache_Ariz.,1732
Dakota_Neb.,1720
Nobles_Minn.,1597
Cass_Ind.,1596
Hall_Neb.,1567
Finney_Kan.,1536
Trousdale_Tenn.,1397
Manassas_Va.,1248
Buena_Vista_Iowa,1221
Lincoln_Ark.,985
Accomack_Va.,983
Texas_Okla.,947
Seward_Kan.,900
Moore_Texas,852
Dawson_Neb.,843
Neshoba_Miss.,772
St._Francis_Ark.,755
Lake_Tenn.,724
Jones_Texas,637
Colfax_Neb.,636
Logan_Colo.,631
Bledsoe_Tenn.,613
Crawford_Iowa,576
Saline_Neb.,518
Buckingham_Va.,481
Holmes_Miss.,461
Tama_Iowa,417
Louisa_Iowa,350
Lowndes_Ala.,294
Richmond_Va.,293
Liberty_Fla.,218
Terrell_Ga.,217
East_Carroll_La.,199
Randolph_Ga.,183
Echols_Ga.,146
