Month,Inflation_rate
Nov_20,0.3
Oct_20,0.7
Sep_20,0.5
Aug_20,0.2
Jul_20,1
Jun_20,0.6
May_20,0.5
Apr_20,0.8
Mar_20,1.5
Feb_20,1.7
Jan_20,1.8
Dec_19,1.3
Nov_19,1.5
Oct_19,1.5
Sep_19,1.7
Aug_19,1.7
Jul_19,2.1
Jun_19,2
May_19,2
Apr_19,2.1
Mar_19,1.9
Feb_19,1.9
Jan_19,1.8
Dec_18,2.1
Nov_18,2.3
Oct_18,2.4
Sep_18,2.4
Aug_18,2.7
Jul_18,2.5
Jun_18,2.4
May_18,2.4
Apr_18,2.4
Mar_18,2.5
Feb_18,2.7
Jan_18,3
Dec_17,3
Nov_17,3.1
Oct_17,3
Sep_17,3
Aug_17,2.9
Jul_17,2.6
Jun_17,2.6
May_17,2.9
Apr_17,2.7
Mar_17,2.3
Feb_17,2.3
Jan_17,1.8
Dec_16,1.6
Nov_16,1.2
Oct_16,0.9
Sep_16,1
Aug_16,0.6
Jul_16,0.6
Jun_16,0.5
May_16,0.3
Apr_16,0.3
Mar_16,0.5
Feb_16,0.3
Jan_16,0.3
Dec_15,0.2
Nov_15,0.1
Oct_15,-0.1
Sep_15,-0.1
Aug_15,0
Jul_15,0.1
Jun_15,0
May_15,0.1
Apr_15,-0.1
Mar_15,0
Feb_15,0
Jan_15,0.3
Dec_14,0.5
Nov_14,1
Oct_14,1.3
Sep_14,1.2
Aug_14,1.5
Jul_14,1.6
Jun_14,1.9
May_14,1.5
Apr_14,1.8
Mar_14,1.6
Feb_14,1.7
Jan_14,1.9
Dec_13,2
Nov_13,2.1
Oct_13,2.2
Sep_13,2.7
Aug_13,2.7
Jul_13,2.8
Jun_13,2.9
May_13,2.7
Apr_13,2.4
Mar_13,2.8
Feb_13,2.8
Jan_13,2.7
Dec_12,2.7
Nov_12,2.7
Oct_12,2.7
Sep_12,2.2
Aug_12,2.5
Jul_12,2.6
Jun_12,2.4
May_12,2.8
Apr_12,3
Mar_12,3.5
Feb_12,3.4
Jan_12,3.6
Dec_11,4.2
Nov_11,4.8
Oct_11,5
Sep_11,5.2
Aug_11,4.5
Jul_11,4.4
Jun_11,4.2
May_11,4.5
Apr_11,4.5
Mar_11,4
Feb_11,4.4
Jan_11,4
Dec_10,3.7
Nov_10,3.3
Oct_10,3.2
Sep_10,3.1
Aug_10,3.1
Jul_10,3.1
Jun_10,3.2
May_10,3.4
Apr_10,3.7
Mar_10,3.4
Feb_10,3
Jan_10,3.5
Dec_09,2.9
Nov_09,1.9
Oct_09,1.5
Sep_09,1.1
Aug_09,1.6
Jul_09,1.8
Jun_09,1.8
May_09,2.2
Apr_09,2.3
Mar_09,2.9
Feb_09,3.2
Jan_09,3
Dec_08,3.1
Nov_08,4.1
Oct_08,4.5
Sep_08,5.2
Aug_08,4.7
Jul_08,4.4
Jun_08,3.8
May_08,3.3
Apr_08,3
Mar_08,2.5
Feb_08,2.5
Jan_08,2.2
Dec_07,2.1
Nov_07,2.1
Oct_07,2.1
Sep_07,1.8
Aug_07,1.8
Jul_07,1.9
Jun_07,2.4
May_07,2.5
Apr_07,2.8
Mar_07,3.1
Feb_07,2.8
Jan_07,2.7
Dec_06,3
Nov_06,2.7
Oct_06,2.4
Sep_06,2.4
Aug_06,2.5
Jul_06,2.4
Jun_06,2.5
May_06,2.2
Apr_06,2
Mar_06,1.8
Feb_06,2
Jan_06,1.9
Dec_05,1.9
Nov_05,2.1
Oct_05,2.3
Sep_05,2.5
Aug_05,2.4
Jul_05,2.3
Jun_05,2
May_05,1.9
Apr_05,1.9
Mar_05,1.9
Feb_05,1.7
Jan_05,1.6
Dec_04,1.7
Nov_04,1.5
Oct_04,1.2
Sep_04,1.1
Aug_04,1.3
Jul_04,1.4
Jun_04,1.6
May_04,1.5
Apr_04,1.1
Mar_04,1.1
Feb_04,1.3
Jan_04,1.4
Dec_03,1.3
Nov_03,1.3
Oct_03,1.4
Sep_03,1.4
Aug_03,1.4
Jul_03,1.3
Jun_03,1.1
May_03,1.3
Apr_03,1.4
Mar_03,1.5
Feb_03,1.6
Jan_03,1.3
Dec_02,1.7
Nov_02,1.5
Oct_02,1.4
Sep_02,1
Aug_02,1
Jul_02,1.1
Jun_02,0.6
May_02,0.8
Apr_02,1.4
Mar_02,1.5
Feb_02,1.5
Jan_02,1.6
Dec_01,1.1
Nov_01,0.8
Oct_01,1.2
Sep_01,1.3
Aug_01,1.8
Jul_01,1.4
Jun_01,1.7
May_01,1.7
Apr_01,1.2
Mar_01,0.9
Feb_01,0.8
Jan_01,0.9
Dec_00,0.8
Nov_00,1.1
Oct_00,1
Sep_00,1
Aug_00,0.6
Jul_00,0.9
Jun_00,0.8
May_00,0.5
Apr_00,0.6
Mar_00,0.6
Feb_00,0.9
Jan_00,0.8
Dec_99,1.1
Nov_99,1.2
Oct_99,1.1
Sep_99,1.2
Aug_99,1.2
Jul_99,1.3
Jun_99,1.3
May_99,1.3
Apr_99,1.5
Mar_99,1.7
Feb_99,1.4
Jan_99,1.6
Dec_98,1.6
Nov_98,1.4
Oct_98,1.4
Sep_98,1.4
Aug_98,1.3
Jul_98,1.4
Jun_98,1.7
May_98,2
Apr_98,1.8
Mar_98,1.7
Feb_98,1.6
Jan_98,1.5
Dec_97,1.7
Nov_97,1.9
Oct_97,1.9
Sep_97,1.8
Aug_97,2
Jul_97,2
Jun_97,1.7
May_97,1.6
Apr_97,1.6
Mar_97,1.7
Feb_97,1.9
Jan_97,2.1
Dec_96,2.3
Nov_96,2.6
Oct_96,2.5
Sep_96,2.3
Aug_96,2.3
Jul_96,2.2
Jun_96,2.3
May_96,2.3
Apr_96,2.5
Mar_96,2.6
Feb_96,2.7
Jan_96,2.6
Dec_95,3
Nov_95,2.8
Oct_95,2.9
Sep_95,3
Aug_95,2.6
Jul_95,2.7
Jun_95,2.6
May_95,2.5
Apr_95,2.3
Mar_95,2.6
Feb_95,2.4
Jan_95,2.4
Dec_94,2
Nov_94,1.8
Oct_94,1.5
Sep_94,1.5
Aug_94,1.9
Jul_94,1.7
Jun_94,2
May_94,2
Apr_94,2
Mar_94,2.2
Feb_94,2.5
Jan_94,2.7
Dec_93,2.4
Nov_93,2.3
Oct_93,2.6
Sep_93,3.1
Aug_93,2.9
Jul_93,2.6
Jun_93,2.4
May_93,2.5
Apr_93,2.5
Mar_93,2.5
Feb_93,2.4
Jan_93,2.2
Dec_92,2.6
Nov_92,2.6
Oct_92,2.9
Sep_92,3
Aug_92,3
Jul_92,3.6
Jun_92,3.8
May_92,4.3
Apr_92,4.7
Mar_92,7.1
Feb_92,6.9
Jan_92,7
Dec_91,7.2
Nov_91,7.1
Oct_91,6.8
Sep_91,7.1
Aug_91,7.9
Jul_91,8.3
Jun_91,8.4
May_91,8.2
Apr_91,8.4
Mar_91,6.9
Feb_91,7
Jan_91,7.1
Dec_90,7.6
Nov_90,7.8
Oct_90,8.1
Sep_90,8.1
Aug_90,7.7
Jul_90,6.8
Jun_90,6.9
May_90,6.8
Apr_90,6.4
Mar_90,6
