Month,Price_in_euros_per_square_meter
Dec_2020,11.1
Nov_2020,11.2
Oct_2020,11.2
Sep_2020,11.3
Aug_2020,11.2
Jul_2020,11.2
Jun_2020,11.1
May_2020,10.6
Apr_2020,10.3
Mar_2020,10.1
Feb_2020,10.1
Jan_2020,10.0
Dec_2019,10.1
Nov_2019,10.1
Oct_2019,10.2
Sep_2019,10.2
Aug_2019,10.2
Jul_2019,10.2
Jun_2019,10.1
May_2019,10.0
Apr_2019,9.9
Mar_2019,9.8
Feb_2019,9.8
Jan_2019,9.8
Dec_2018,9.8
Nov_2018,9.8
Oct_2018,9.8
Sep_2018,9.8
Aug_2018,9.8
Jul_2018,9.8
Jun_2018,9.7
May_2018,9.5
Apr_2018,9.5
Mar_2018,9.4
Feb_2018,9.4
Jan_2018,9.4
