Response,Share_of_GDP
Real_estate_and_rental_and_leasing,12.98
Health_care_and_social_assistance,10.11
Manufacturing,9.42
Public_administration,8.85
Construction,7.85
Transportation_and_warehousing,6.78
Educational_services,5.83
Retail_trade,5.73
Finance_and_insurance,5.53
Wholesale_trade,4.48
Utilities,3.6
Professional_scientific_and_technical_services,3.55
Agriculture_forestry_fishing_and_hunting,3.51
Mining_quarrying_and_oil_and_gas_extraction,2.47
Information_and_cultural_industries,2.22
Accommodation_and_food_services,2.05
Other_services_(except_public_administration),1.91
Administrative_and_support_waste_management_and_remediation_services,1.78
Arts_entertainment_and_recreation,0.81
Management_of_companies_and_enterprises,0.55
