Response,Percentage_of_one-year-old_children
Hungary,99
Luxembourg,99
Portugal,99
China,99
Israel,98
Latvia,98
Russian_Federation,98
Korea,98
Greece,97
Japan,97
Spain,97
Germany,97
Mexico,97
Sweden,97
Slovak_Republic,96
Norway,96
Finland,96
Belgium,96
Czech_Republic,96
Turkey,96
Denmark,95
Switzerland,95
Australia,95
Austria,95
OECD36,94.83
Costa_Rica,94
Chile,93
Colombia,93
Iceland,93
Slovenia,93
Poland,93
Netherlands,93
Italy,93
United_States,92
Lithuania,92
New_Zealand,92
United_Kingdom,92
Ireland,92
Canada,90
France,90
Estonia,87
Brazil,84
India,84
South_Africa,81
Indonesia,78
