ice_hockey_team,Twitter_followers_in_millions
NHL_-_league_account,6.2
Chicago_Blackhawks,2.4
Toronto_Maple_Leafs,1.9
Pittsburgh_Penguins,1.8
Philadelphia_Flyers,1.5
Montreal_Canadiens,1.4
Boston_Bruins,1.5
New_York_Rangers,1.4
Detroit_Red_Wings,1.2
Los_Angeles_Kings,1.1
Dallas_Stars,1.0
Vancouver_Canucks,1.0
Buffalo_Sabres,0.86
Edmonton_Oilers,0.82
San_Jose_Sharks,0.81
Washington_Capitals,0.77
New_Jersey_Devils,0.73
Tampa_Bay_Lightning,0.71
Minnesota_Wild,0.68
St._Louis_Blues,0.75
Calgary_Flames,0.62
Anaheim_Ducks,0.6
Nashville_Predators,0.61
Ottawa_Senators,0.58
Winnipeg_Jets,0.55
New_York_Islanders,0.54
Colorado_Avalanche,0.52
Columbus_Blue_Jackets,0.48
Carolina_Hurricanes,0.45
Florida_Panthers,0.38
Arizona_Coyotes,0.37
