Month,Confirmed_cases,Fatal_cases
Nov_20,22464,626
Nov_19,23975,637
Nov_18,19883,603
Nov_17,19152,357
Nov_16,20816,143
Nov_15,21854,303
Nov_14,25571,548
Nov_13,24051,419
Nov_12,22683,275
Nov_11,25221,430
Nov_10,25454,330
Nov_9,21713,173
Nov_8,24785,236
Nov_7,27875,349
Nov_6,27086,445
Nov_5,27143,367
Nov_4,24692,373
Nov_3,19364,227
Nov_2,15578,92
Nov_1,17171,152
Oct_31,21897,280
Oct_30,21629,202
Oct_29,20156,301
Oct_28,18820,234
Oct_27,16300,132
Oct_26,10241,45
Oct_25,11742,87
Oct_24,13628,179
Oct_23,13632,153
Oct_22,12107,168
Oct_21,10040,130
Oct_20,9291,107
Oct_19,7482,41
Oct_18,8536,49
Oct_17,9622,84
Oct_16,7705,132
Oct_15,8099,91
Oct_14,6526,116
Oct_13,5068,63
Oct_12,4394,35
Oct_11,4178,32
Oct_10,5300,53
Oct_9,4739,52
Oct_8,4280,76
Oct_7,3003,75
Oct_6,2236,58
Oct_5,2006,29
Oct_4,1934,26
Oct_3,2367,34
Oct_2,2292,27
Oct_1,1967,30
Sep_30,1552,30
Sep_29,1326,30
Sep_28,1306,15
Sep_27,1350,8
Sep_26,1584,32
Sep_25,1587,23
Sep_24,1136,25
Sep_23,974,28
Sep_22,711,18
Sep_21,748,5
Sep_20,910,11
Sep_19,1002,12
Sep_18,757,17
Sep_17,837,16
Sep_16,600,10
Sep_15,605,24
Sep_14,377,15
Sep_13,502,6
Sep_12,603,13
Sep_11,594,10
Sep_10,506,12
Sep_9,421,11
Sep_8,400,12
Sep_7,302,4
Sep_6,437,7
Sep_5,567,13
Sep_4,691,8
Sep_3,612,14
Sep_2,595,20
Sep_1,550,19
Aug_31,502,6
Aug_30,631,1
Aug_29,759,14
Aug_28,791,9
Aug_27,887,15
Aug_26,729,17
Aug_25,763,17
Aug_24,548,5
Aug_23,581,4
Aug_22,900,13
Aug_21,903,13
Aug_20,767,12
Aug_19,735,17
Aug_18,597,11
Aug_17,595,8
Aug_16,594,8
Aug_15,771,11
Aug_14,832,14
Aug_13,811,14
Aug_12,715,9
Aug_11,551,12
Aug_10,619,2
Aug_9,624,7
Aug_8,843,13
Aug_7,809,13
Aug_6,726,18
Aug_5,640,18
Aug_4,680,6
Aug_3,575,1
Aug_2,548,10
Aug_1,658,5
Jul_31,657,7
Jul_30,615,15
Jul_29,512,12
Jul_28,502,6
Jul_27,337,5
Jul_26,443,7
Jul_25,584,9
Jul_24,458,4
Jul_23,418,9
Jul_22,380,6
Jul_21,399,9
Jul_20,279,3
Jul_19,358,6
Jul_18,339,6
Jul_17,353,8
Jul_16,333,11
Jul_15,264,6
Jul_14,267,12
Jul_13,299,5
Jul_12,370,3
Jul_11,305,6
Jul_10,265,11
Jul_9,262,9
Jul_8,277,15
Jul_7,257,7
Jul_6,205,4
Jul_5,231,5
Jul_4,314,5
Jul_3,259,15
Jul_2,371,15
Jul_1,382,14
Jun_30,239,19
Jun_29,247,6
Jun_28,193,3
Jun_27,319,6
Jun_26,276,17
Jun_25,298,16
Jun_24,294,21
Jun_23,300,16
Jun_22,296,3
Jun_21,311,10
Jun_20,304,12
Jun_19,301,18
Jun_18,314,30
Jun_17,506,14
Jun_16,407,16
Jun_15,396,9
Jun_14,375,10
Jun_13,444,9
Jun_12,376,7
Jun_11,359,9
Jun_10,282,23
Jun_9,400,17
Jun_8,599,9
Jun_7,575,4
Jun_6,576,16
Jun_5,362,20
Jun_4,361,2
Jun_3,292,23
Jun_2,230,18
Jun_1,379,10
May_31,215,3
May_30,416,10
May_29,330,13
May_28,352,10
May_27,399,4
May_26,443,17
May_25,305,11
May_24,395,3
May_23,312,11
May_22,476,10
May_21,404,10
May_20,471,14
May_19,383,12
May_18,356,11
May_17,272,10
May_16,241,8
May_15,401,24
May_14,411,22
May_13,283,22
May_12,595,28
May_11,330,11
May_10,345,15
May_9,285,9
May_8,319,21
May_7,307,22
May_6,309,17
May_5,425,18
May_4,313,20
May_3,318,14
May_2,270,13
May_1,228,7
Apr_30,237,20
Apr_29,422,28
Apr_28,316,34
Apr_27,285,27
Apr_26,344,11
Apr_25,381,30
Apr_24,381,40
Apr_23,342,28
Apr_22,313,25
Apr_21,263,21
Apr_20,306,20
Apr_19,545,13
Apr_18,363,15
Apr_17,461,18
Apr_16,336,28
Apr_15,380,23
Apr_14,263,18
Apr_13,260,13
Apr_12,318,24
Apr_11,401,27
Apr_10,380,7
Apr_9,370,15
Apr_8,357,30
Apr_7,435,22
Apr_6,311,13
Apr_5,475,15
Apr_4,244,8
Apr_3,437,14
Apr_2,392,14
Apr_1,243,10
Mar_31,256,2
Mar_30,193,9
Mar_29,224,4
Mar_28,249,2
Mar_27,168,0
Mar_26,170,2
Mar_25,151,4
Mar_24,151,2
Mar_23,115,1
Mar_22,98,2
Mar_21,111,0
Mar_20,70,0
Mar_19,68,0
Mar_18,49,0
Mar_17,61,1
Mar_16,52,1
Mar_15,21,0
Mar_14,36,1
Mar_13,17,1
Mar_12,20,1
Mar_11,9,0
Mar_10,5,0
Mar_9,6,0
Mar_8,5,0
Mar_7,1,0
Mar_6,4,0
Mar_4,1,0
