computing-related_occupations,2000,2005,2009,2013,2014,2015,2016,2017,2018,2019
Operations_research_analysts,51,50,47,52,55.4,50.7,55.4,51.5,49.1,42.7
Web_developers,0,0,0,39.5,35.2,34.3,33.6,32.3,32.5,41.4
Computer_systems_analysts,34,30,27,34.9,34.2,34.2,35.7,38.9,37.5,40.1
Database_administrators,43,33,35,37.4,28,38,46.2,40.6,37.9,30.2
Computer_support_specialists,35,33,27,29,26.6,26.4,25.5,27.1,28.1,26.4
Network_and_computer_systems_administrators,23,19,22,17.3,19.1,15.9,17.1,23.5,21.2,26.1
Computer_hardware_engineers,22,11,9,9.2,15.3,12.8,24.7,17.2,18.9,22.8
Computer_programmers,26,26,20,23,21.4,21,22.6,21.2,21.2,20.3
Software_developers_applications_and_systems_software),24,22,20,19.7,19.8,17.9,20,18.7,19.3,18.7
