Response,Pinterest,Facebook,Instagram,LinkedIn,Snapchat,Tumblr,Twitter
Collecting_ideas_for_projects,83,24,23,11,11,35,18
Discovering_new_interests,75,33,30,13,14,48,26
Pursuing_your_hobbies,73,28,27,9,14,40,21
Seeking_inspiration,72,28,34,13,12,45,22
Planning_for_holidays_or_parties,70,34,19,6,12,16,15
Learning_more_about_something_that_interests_you,69,35,25,14,14,44,26
Expressing_your_creativity,67,35,47,10,32,51,25
Planning_daily_meals,63,19,16,4,10,16,11
Finding_fitness_tips,55,31,27,6,10,29,21
Relaxing,48,45,36,7,29,48,27
Finding/taking_time_for_yourself,44,39,29,8,21,42,23
Relieving_stress,43,38,30,7,29,45,27
Planning_a_vacation,36,24,16,5,10,16,13
Shopping,32,23,19,5,9,14,13
Managing_work/school_projects,27,21,12,18,12,13,13
Staying_connected_with_friends/family,9,85,39,11,37,15,32
Keeping_up-to-date_on_my_favourite_celebrities,9,40,45,5,20,24,55
Making_professional_connections,8,33,16,80,9,12,23
Communicating_with_friends_and_family,8,84,33,9,42,17,31
Keeping_up_to_date_with_news_sports_or_politics,7,56,20,8,15,25,50
