Month,Index_number_of_sales_per_week
Jun_20,71.4
May_20,42.0
Apr_20,35.4
Mar_20,69.5
Feb_20,107.5
Jan_20,107.7
Dec_19,103.6
Nov_19,105.6
Oct_19,106.5
Sep_19,107.3
Aug_19,106.9
Jul_19,106.8
Jun_19,107.3
May_19,106.2
Apr_19,110.3
Mar_19,108.1
Feb_19,106.5
Jan_19,106.8
Dec_18,106.1
Nov_18,106.1
Oct_18,104.5
Sep_18,104.2
Aug_18,103.3
Jul_18,105.6
Jun_18,103.9
May_18,105.6
Apr_18,101.5
Mar_18,100.4
Feb_18,101.9
Jan_18,102.2
Dec_17,102.4
Nov_17,103.9
Oct_17,103.5
Sep_17,105.2
Aug_17,104.8
Jul_17,103.9
Jun_17,104.3
May_17,104.3
Apr_17,103.5
Mar_17,104.7
Feb_17,103.6
Jan_17,101.9
Dec_16,100.7
Nov_16,101.6
Oct_16,105.3
Sep_16,98.7
Aug_16,101.0
July_16,102.9
June_16,98.1
May_16,100.6
Apr_16,98.9
Mar_16,96.0
Feb_16,98.8
Jan_16,98.9
Dec_15,100.0
Nov_15,102.0
Oct_15,101.2
Sep_15,103.3
Aug_15,103.5
Jul_15,100.3
Jun_15,105.1
May_15,102.5
Apr_15,105.5
Mar_15,102.8
Feb_15,102.4
Jan_15,98.5
