Year,Weekday,Sunday,Weekday_(estimated),Sunday_(estimated)
1940,41132000,32371000,nan,nan
1945,48384000,39860000,nan,nan
1946,50928000,43665000,nan,nan
1947,51673000,45151000,nan,nan
1948,52285000,46308000,nan,nan
1949,52846000,46399000,nan,nan
1950,53829000,46582000,nan,nan
1951,54018000,46279000,nan,nan
1952,53951000,46210000,nan,nan
1953,54472000,45949000,nan,nan
1954,55072000,46176000,nan,nan
1955,56147000,46448000,nan,nan
1956,57102000,47162000,nan,nan
1957,57805000,47044000,nan,nan
1958,57418000,46955000,nan,nan
1959,58300000,47848000,nan,nan
1960,58882000,47699000,nan,nan
1961,59261000,48216000,nan,nan
1962,59849000,48888000,nan,nan
1963,58905000,46830000,nan,nan
1964,60412000,48383000,nan,nan
1965,60358000,48600000,nan,nan
1966,61397000,49282000,nan,nan
1967,61561000,49224000,nan,nan
1968,62535000,49693000,nan,nan
1969,62060000,49675000,nan,nan
1970,62108000,49217000,nan,nan
1971,62231000,49665000,nan,nan
1972,62510000,50001000,nan,nan
1973,63147000,51717000,nan,nan
1974,61877000,51679000,nan,nan
1975,60655000,51096000,nan,nan
1976,60977000,51565000,nan,nan
1977,61495000,52429000,nan,nan
1978,61990000,53990000,nan,nan
1979,62223000,54380000,nan,nan
1980,62202000,54676000,nan,nan
1981,61431000,55180000,nan,nan
1982,62487000,56261000,nan,nan
1983,62645000,56747000,nan,nan
1984,63340000,57574000,nan,nan
1985,62766000,58826000,nan,nan
1986,62502000,58925000,nan,nan
1987,62826000,60112000,nan,nan
1988,62695000,61474000,nan,nan
1989,62649000,62008000,nan,nan
1990,62328000,62635000,nan,nan
1991,60687000,62068000,nan,nan
1992,60164000,62160000,nan,nan
1993,59812000,62566000,nan,nan
1994,59305000,62295000,nan,nan
1995,58193000,61229000,nan,nan
1996,56983000,60798000,nan,nan
1997,56728000,60486000,nan,nan
1998,56182000,60066000,nan,nan
1999,55979000,59894000,nan,nan
2000,55773000,59421000,nan,nan
2001,55578000,59090000,nan,nan
2002,55186000,58780000,nan,nan
2003,55185000,58495000,nan,nan
2004,54626000,57754000,nan,nan
2005,53345000,55270000,nan,nan
2006,52329000,53179000,nan,nan
2007,50742000,51246000,nan,nan
2008,48597000,49115000,nan,nan
2009,45653000,46164000,nan,nan
2010,--,--,nan,nan
2011,44421000,48510000,nan,nan
2012,43433000,44821000,nan,nan
2013,40712000,43292000,nan,nan
2014,40420000,42751000,nan,nan
2015,nan,nan,37711860.0,40955458.0
2016,nan,nan,34657199.0,37801888.0
2017,nan,nan,30948419.0,33971695.0
2018,nan,nan,28554137.0,30817351.0
