soccer_matches,Number_of_viewers_in_millions
Germany_vs._Argentina_(2014_Men's_World_Cup_Final),27.31
United_States_vs._Japan_(2015_Women's_World_Cup_Final),26.92
United_States_vs._Portugal_(2014_Men's_World_Cup_Group_Stage),25.5
Netherlands_vs._Spain_(2010_Men's_World_Cup_Final),24.7
United_States_vs._Belgium_(2014_Men's_World_Cup_Round_of_16),23.69
United_States_vs._Ghana_(2010_Men's_World_Cup_Round_of_16),19.4
Brazil_vs._Italy_(1994_Men's_World_Cup_Final),18.1
United_States_vs._China_(1999_Women's_World_Cup_Final),17.98
Netherlands_vs._Mexico_(2014_Men's_World_Cup_Round_of_16),17.27
United_States_vs._England_(2010_World_Cup_Group_Stage),17.1
