Company,Revenue_compound_annual_growth_rate_(CAGR)
Konfío__Red_Amigo_DAL_(Mexico),185.7
Coderhouse_(Argentina),155.4
Comparaguru_México_(Coru)_(Mexico),109
Zinobe_(Colombia),108.3
K-Supply_Group_(Colombia),105.1
HTK_Lentes_Oftálmicas_(Hayek_Lentes)_(Brazil),90.4
Oftalmología_de_Alta_Tecnología_(Colombia),85.6
Magnus_Seguridad_(Colombia),82.9
CR_Proyectos_(Colombia),82.2
American_School_Way_(Colombia),79.3
Bio_Bolsa_(Colombia),77.2
Valemobi_Consultoria_Empresarial_(Brazil),75.5
Omega_Geração_(Brazil),73
Calima_Motor_(Colombia),68.4
Gupo_Logístico_Especializado_(Colombia),64.7
