State,Number_of_children
Alabama,541
Alaska,362
Arizona,2907
Arkansas,743
California,5287
Colorado,757
Connecticut,496
Delaware,84
District_of_Columbia,107
Florida,3218
Georgia,881
Hawaii,121
Idaho,218
Illinois,1648
Indiana,844
Iowa,827
Kansas,688
Kentucky,909
Louisiana,620
Maine,291
Maryland,340
Massachusetts,586
Michigan,2098
Minnesota,635
Mississippi,313
Missouri,1271
Montana,234
Nebraska,452
Nevada,729
New_Hampshire,120
New_Jersey,1016
New_Mexico,315
New_York,1903
North_Carolina,1164
North_Dakota,96
Ohio,1400
Oklahoma,1382
Oregon,846
Pennsylvania,1849
Puerto_Rico,11
Rhode_Island,202
South_Carolina,449
South_Dakota,159
Tennessee,1121
Texas,5150
Utah,605
Vermont,161
Virginia,621
Washington,1302
West_Virginia,831
Wisconsin,726
Wyoming,11
