Industry,Real_value_added_in_billion_chained_(2012)_U.S._dollars
Finance_insurance_real_estate_rental_and_leasing,212.12
Professional_and_business_services,132.06
Government_and_government_enterprises,100.42
Educational_services_health_care_and_social_assistance,93.98
Retail_trade,75.05
Wholesale_trade,66.96
Arts_entertainment_recreation_accommodation_and_food_services,54.16
Manufacturing,53.98
Information,48.9
Construction,45.07
Transportation_and_warehousing,32.12
Utilities,15.81
Agriculture_forestry_fishing_and_hunting,8.32
Mining_quarrying_and_oil_and_gas_extraction,1.61
