oil_company,Capacity_in_thousand_barrels_per_day
Replan_-_Refinaria_de_Paulínia,434.0
Rlam_-_Refinaria_Landulpho_Alves,377.39
Revap_-_Refinaria_Henrique_Lage,251.59
Reduc_-_Refinaria_Duque_de_Caxias,251.59
Refap_-_Refinaria_Alberto_Pasqualini_S.A.,220.14
Repar_-_Refinaria_Presidente_Getúlio_Vargas,213.85
RPBC_-_Refinaria_Presidente_Bernardes,179.18
Regap_-_Refinaria_Gabriel_Passos,166.05
Rnest_-_Refinaria_Abreu_e_Lima,115.01
Recap_-_Refinaria_de_Capuava,62.9
Reman_-_Refinaria_Isaac_Sabbá,45.92
RPCC_-_Refinaria_Potiguar_Clara_Camarão,44.66
Riograndense_-_Refinaria_de_Petróleo_Riograndense_S.A.,17.01
Lubnor_-_Lubrificantes_e_Derivados_de_Petróleo_do_Nordeste,10.38
Manguinhos_-_Refinaria_de_Petróleos_de_Manguinhos_S.A.,10.0
Univen_-_Univen_Refinaria_de_Petróleo_Ltda.,5.16
FASF_-_Rlam_Fábrica_de_Asfalto,3.77
Dax_Oil_-_Dax_Oil_Refino_S.A.,2.1
