Month,Number_of_new_cases
Jan_5_2021,137
Jan_4_2021,295
Jan_3_2021,147
Jan_2_2021,198
Jan_1_2021,127
Dec_31_2020,253
Dec_30_2020,256
Dec_29_2020,306
Dec_28_2020,430
Dec_27_2020,189
Dec_26_2020,185
Dec_25_2020,157
Dec_24_2020,138
Dec_23_2020,277
Dec_22_2020,331
Dec_21_2020,374
Dec_20_2020,244
Dec_19_2020,190
Dec_18_2020,395
Dec_17_2020,319
Dec_16_2020,350
Dec_15_2020,358
Dec_14_2020,463
Dec_13_2020,276
Dec_12_2020,250
Dec_11_2020,444
Dec_10_2020,408
Dec_9_2020,464
Dec_8_2020,478
Dec_7_2020,588
Dec_6_2020,282
Dec_5_2020,250
Dec_4_2020,472
Dec_3_2020,477
Dec_2_2020,495
Dec_1_2020,439
Nov_30_2020,596
Nov_29_2020,293
Nov_28_2020,284
Nov_27_2020,455
Nov_26_2020,510
Nov_25_2020,599
Nov_24_2020,469
Nov_23_2020,504
Nov_22_2020,267
Nov_21_2020,268
Nov_20_2020,428
Nov_19_2020,478
Nov_18_2020,376
Nov_17_2020,391
Nov_16_2020,392
Nov_15_2020,182
Nov_14_2020,145
Nov_13_2020,266
Nov_12_2020,282
Nov_11_2020,294
Nov_10_2020,205
Nov_9_2020,273
Nov_8_2020,133
Nov_7_2020,128
Nov_6_2020,196
Nov_5_2020,221
Nov_4_2020,213
Nov_3_2020,241
Nov_2_2020,289
Nov_1_2020,150
Oct_31_2020,121
Oct_30_2020,219
Oct_29_2020,237
Oct_28_2020,239
Oct_27_2020,231
Oct_26_2020,256
Oct_25_2020,124
Oct_24_2020,107
Oct_23_2020,192
Oct_22_2020,220
Oct_21_2020,188
Oct_20_2020,166
Oct_19_2020,244
Oct_18_2020,129
Oct_17_2020,104
Oct_16_2020,195
Oct_15_2020,190
Oct_14_2020,201
Oct_13_2020,198
Oct_12_2020,255
Oct_11_2020,130
Oct_10_2020,109
Oct_9_2020,227
Oct_8_2020,258
Oct_7_2020,306
Oct_6_2020,303
Oct_5_2020,291
Oct_4_2020,148
Oct_3_2020,180
Oct_2_2020,188
Oct_1_2020,188
Sep_30_2020,165
Sep_29_2020,134
Sep_28_2020,122
Sep_27_2020,71
Sep_26_2020,74
Sep_25_2020,127
Sep_24_2020,98
Sep_23_2020,117
Sep_22_2020,110
Sep_21_2020,120
Sep_20_2020,74
Sep_19_2020,61
Sep_18_2020,77
Sep_17_2020,85
Sep_16_2020,57
Sep_15_2020,53
Sep_14_2020,59
Sep_13_2020,46
Sep_12_2020,41
Sep_11_2020,57
Sep_10_2020,52
Sep_9_2020,55
Sep_8_2020,57
Sep_7_2020,45
Sep_6_2020,33
Sep_5_2020,22
Sep_4_2020,42
Sep_3_2020,35
Sep_2_2020,26
Sep_1_2020,29
Aug_31_2020,48
Aug_30_2020,17
Aug_26_2020,20
Aug_29_2020,19
Aug_28_2020,33
Aug_27_2020,32
Aug_25_2020,14
Aug_24_2020,17
Aug_23_2020,10
Aug_22_2020,16
Aug_21_2020,25
Aug_20_2020,26
Aug_19_2020,47
Aug_18_2020,39
Aug_17_2020,27
Aug_16_2020,43
Aug_15_2020,13
Aug_14_2020,28
Aug_13_2020,22
Aug_12_2020,26
Aug_11_2020,25
Aug_10_2020,15
Aug_9_2020,35
Aug_8_2020,9
Aug_7_2020,17
Aug_6_2020,22
Aug_5_2020,28
Aug_4_2020,21
Aug_3_2020,35
Aug_2_2020,10
Aug_1_2020,14
Jul_31_2020,18
Jul_30_2020,8
Jul_29_2020,12
Jul_28_2020,8
Jul_27_2020,13
Jul_26_2020,8
Jul_25_2020,4
Jul_24_2020,10
Jul_23_2020,3
Jul_22_2020,11
Jul_21_2020,8
Jul_20_2020,12
Jul_19_2020,4
Jul_18_2020,7
Jul_17_2020,6
Jul_16_2020,10
Jul_15_2020,5
Jul_14_2020,5
Jul_13_2020,7
Jul_12_2020,4
Jul_11_2020,0
Jul_10_2020,7
Jul_9_2020,8
Jul_8_2020,9
Jul_7_2020,3
Jul_6_2020,6
Jul_5_2020,2
Jul_4_2020,2
Jul_3_2020,5
Jul_2_2020,7
Jul_1_2020,2
Jun_30_2020,10
Jun_29_2020,15
Jun_28_2020,7
Jun_27_2020,2
Jun_26_2020,2
Jun_25_2020,14
Jun_24_2020,15
Jun_23_2020,5
Jun_22_2020,5
Jun_21_2020,13
Jun_20_2020,2
Jun_19_2020,0
Jun_18_2020,8
Jun_17_2020,3
Jun_16_2020,8
Jun_15_2020,15
Jun_14_2020,3
Jun_13_2020,2
Jun_12_2020,13
Jun_11_2020,9
Jun_10_2020,7
Jun_9_2020,8
Jun_8_2020,9
Jun_7_2020,4
Jun_6_2020,12
Jun_5_2020,13
Jun_4_2020,10
Jun_3_2020,26
Jun_2_2020,14
Jun_1_2020,18
May_31_2020,11
May_30_2020,14
May_29_2020,43
May_28_2020,40
May_27_2020,27
May_26_2020,39
May_25_2020,51
May_24_2020,30
May_23_2020,15
May_22_2020,31
May_21_2020,23
May_20_2020,44
May_19_2020,49
May_18_2020,44
May_17_2020,21
May_16_2020,24
May_15_2020,55
May_14_2020,56
May_13_2020,73
May_12_2020,69
May_11_2020,94
May_10_2020,23
May_9_2020,44
May_8_2020,83
May_7_2020,102
May_6_2020,91
May_5_2020,128
May_4_2020,130
May_3_2020,58
May_2_2020,63
May_1_2020,49
Apr_30_2020,88
Apr_29_2020,109
Apr_28_2020,151
