Response,Share_of_respondents
Buying_a_home/paying_a_mortgage,36
Becoming_unemployed,26
The_recession/current_economic_downturn,26
Paying_for_children's_education,24
Getting_into_debt/severe_financial_difficutly,22
Illness_or_accident_preventing_me/my_spouse_working,21
Significant_drop_in_earnings/pay_cut,21
Starting_a_family,19
Having_to_fund/pay_for_a_dependent,13
Getting_married/civil_partnership,11
Having_to_stop_work_to_look_after_someone,11
Paying_for_my_own_education,10
Seperation/divorce,8
Starting_work,8
Finishing_full-time_education,7
Remarrying,3
None_of_these_events_have_significantly_impacted,10
Other_event,4
Don't_know,6
