city,Population_in_millions
Istanbul_(Turkey),15.19
Moscow_(Russia),12.54
Paris_(France),11.02
London_(UK),9.3
Madrid_(Spain),6.62
Barcelona_(Spain),5.59
Saint_Petersburg_(Russia),5.47
Rome_(Italy),4.26
Berlin_(Germany),3.56
Athens_(Greece),3.15
Milan_(Italy),3.14
Kiev_(Ukraine),2.99
Lisbon_(Portugal),2.96
Manchester_(UK),2.73
Birmingham_(UK),2.61
Naples_(Italy),2.19
Brussels_(Belgium),2.08
Minsk_(Belarus),2.03
Vienna_(Austria),1.93
Leeds_(UK),1.89
Bucharest_(Romania),1.8
Turin_(Italy),1.79
Hamburg_(Germany),1.79
Warsaw_(Poland),1.78
Budapest_(Hungary),1.77
Lyon_(France),1.72
Glasgow_(UK),1.67
Stockholm_(Sweden),1.63
Marseille_(France),1.61
Munich_(Germany),1.54
Kharkiv_(Ukraine),1.43
Belgrade_(Serbia),1.4
Zurich_(Switzerland),1.4
Copenhagen_(Denmark),1.35
Porto_(Portugal),1.31
Prague_(Czechia),1.31
Helsinki_(Finland),1.31
Sofia_(Bulgaria),1.28
Kazan_(Russia),1.27
Nizhniy_Novgorod_(Russia),1.26
Dublin_(Ireland),1.23
Samara_(Russia),1.16
Amsterdam_(Netherlands),1.15
Rostov-on-Don_(Russia),1.14
Cologne_(Germany),1.12
Voronezh_(Russia),1.07
Lille_(France),1.06
Antwerp_(Belgium),1.04
Oslo_(Norway),1.04
Toulouse_(France),1.02
