coach,Annual_salary_(in_euros)
Fabio_Capello_(England),8800000
Marcello_Lippi_(Italy),3000000
Joachim_Löw_(Germany),2500000
Bert_van_Marwijk_(Netherlands),1800000
Ottmar_Hitzfeld_(Switzerland),1750000
Vicente_del_Bosque_(Spain),1500000
Carlos_Queiroz_(Portugal),1350000
Pim_Verbeek_(Australia),1200000
Carlos_Parreira_(South_Africa),1200000
Javier_Aguirre_(Mexico),1200000
Carlos_Dunga_(Brazil),800000
Diego_Maradona_(Argentina),800000
Takeshi_Okada_(Japan),800000
Ricki_Herbert_(New_Zealand),800000
Otto_Rehhagel_(Greece),750000
Paul_Le_Guen_(Cameroon),650000
Marcelo_Bielsa_(Chile),575000
Raymond_Domenech_(France),560000
Vahdi_Halilhodzic_(Ivory_Coast),505000
Moo_Jung_Hun_(South_Korea),405000
Morten_Olsen_(Denmark),390000
Milovan_Rajevac_(Ghana),365000
Radomir_Antic_(Serbia),305000
Bob_Bradley_(USA),275000
Majtaz_Kek_(Slovenia),245000
Gerardo_Martino_(Paraguay),245000
Rabah_Saadane_(Algeria),245000
Reinaldo_Rueda_(Honduras),240000
Vladimir_Weiss_(Slovakia),215000
Oscar_Tabarez_(Uruquay),205000
Kim_Jong_Hun_(North_Korea),170000
Shaibu_Amodu_(Nigeria),125000
