player,Payroll_in_thousand_U.S._dollars
"Valeri_""Vako""_Qazaishvili",1604.04
Chris_Wondolowski,800.0
Andres__Rios,729.25
Carlos__Fierro,718.8
Florian_Jungwirth,616.68
Guram_Kashia,590.0
Cristian_Espinoza,550.0
Danny_Hoesen,549.67
Anibal_Godoy,498.13
Magnus_Eriksson,450.0
Marcos_Lopez_Lanfranco,387.75
Harold_Cummings,320.67
Judson,305.0
Francois_Affolter,282.0
Shea_Salinas,250.0
Andrew_Tarbell,235.0
Nick_Lima,218.44
Daniel_Vega,210.0
Jackson_Yueill,190.0
Tommy_Thompson,175.0
JT_Marcinkowski,147.0
Eric_Calvillo,136.5
Siad_Haji,104.0
Gilbert_Fuentes,92.0
Matt_Bersano,71.67
Luis_Felipe,71.63
Jimmy_Ockford,70.88
Cade_Cowell,67.23
Jacob_Akanyirige,64.23
Paul_Marie,57.23
Kevin_Partida,57.23
