Month,Stock_price_in_euros
Jan_8_2021,49.35
Jan_7_2021,49.1
Jan_6_2021,49.32
Jan_5_2021,49.04
Jan_4_2021,49.41
Dec_31_2020,49.57
Dec_30_2020,49.76
Dec_29_2020,49.25
Dec_28_2020,48.58
Dec_24_2020,47.83
Dec_23_2020,47.72
Dec_22_2020,47.5
Dec_21_2020,46.86
Dec_18_2020,47.92
Dec_17_2020,48.0
Dec_16_2020,48.5
Dec_15_2020,47.52
Dec_14_2020,47.84
Dec_11_2020,48.22
Dec_10_2020,48.07
Dec_9_2020,48.14
Dec_8_2020,48.02
Dec_7_2020,47.66
Dec_4_2020,48.0
Dec_3_2020,47.44
Dec_2_2020,48.5
Dec_1_2020,49.35
Nov_30_2020,50.82
Nov_27_2020,50.26
Nov_26_2020,50.96
Nov_25_2020,51.02
Nov_24_2020,48.5
Nov_23_2020,48.66
Nov_20_2020,49.66
Nov_19_2020,49.55
Nov_18_2020,50.32
Nov_17_2020,50.64
Nov_16_2020,51.48
Nov_13_2020,52.58
Nov_12_2020,52.96
Nov_11_2020,53.22
Nov_10_2020,52.02
Nov_9_2020,52.22
Nov_6_2020,51.58
Nov_5_2020,51.38
Nov_4_2020,51.34
Nov_3_2020,50.32
Nov_2_2020,49.37
Oct_30_2020,48.55
Oct_29_2020,49.05
Oct_28_2020,49.71
Oct_27_2020,51.3
Oct_26_2020,50.6
Oct_23_2020,51.1
Oct_22_2020,51.52
Oct_21_2020,51.46
Oct_20_2020,52.2
Oct_19_2020,52.1
Oct_16_2020,52.64
Oct_15_2020,52.26
Oct_14_2020,53.12
Oct_13_2020,52.94
Oct_12_2020,52.9
Oct_9_2020,52.7
Oct_8_2020,51.82
Oct_7_2020,51.78
Oct_6_2020,51.84
Oct_5_2020,52.34
Oct_2_2020,52.4
Oct_1_2020,51.72
Sep_30_2020,51.5
Sep_29_2020,51.7
Sep_28_2020,52.18
Sep_25_2020,51.04
Sep_24_2020,50.58
Sep_23_2020,50.96
Sep_22_2020,50.56
Sep_21_2020,49.84
Sep_18_2020,50.98
Sep_17_2020,52.02
Sep_16_2020,52.08
Sep_15_2020,52.0
Sep_14_2020,51.42
Sep_11_2020,51.58
Sep_10_2020,51.2
Sep_9_2020,51.48
Sep_8_2020,49.69
Sep_7_2020,49.54
Sep_4_2020,48.82
Sep_3_2020,49.83
Sep_2_2020,49.95
Sep_1_2020,48.69
Aug_31_2020,48.51
Aug_28_2020,48.98
Aug_27_2020,50.02
Aug_26_2020,49.71
Aug_25_2020,49.47
Aug_24_2020,49.73
Aug_21_2020,49.16
Aug_20_2020,49.42
Aug_19_2020,49.58
Aug_18_2020,49.03
Aug_17_2020,49.41
Aug_14_2020,49.5
Aug_13_2020,49.84
Aug_12_2020,49.99
Aug_11_2020,49.02
Aug_10_2020,49.46
Aug_7_2020,49.28
Aug_6_2020,49.89
Aug_5_2020,50.72
Aug_4_2020,51.02
Aug_3_2020,51.16
Jul_31_2020,50.08
Jul_30_2020,50.82
Jul_29_2020,51.74
Jul_28_2020,51.1
Jul_27_2020,50.7
Jul_24_2020,50.54
Jul_23_2020,50.5
Jul_22_2020,46.86
Jul_21_2020,47.54
Jul_20_2020,47.3
Jul_17_2020,47.4
Jul_16_2020,46.99
Jul_15_2020,47.45
Jul_14_2020,46.8
Jul_13_2020,46.88
Jul_10_2020,46.28
Jul_9_2020,46.44
Jul_8_2020,46.66
Jul_7_2020,46.92
Jul_6_2020,47.56
Jul_3_2020,47.36
Jul_2_2020,48.46
Jul_1_2020,47.48
Jun_30_2020,47.25
Jun_29_2020,47.83
Jun_26_2020,49.07
Jun_25_2020,48.75
Jun_24_2020,48.82
Jun_23_2020,49.51
Jun_22_2020,49.5
Jun_19_2020,50.5
Jun_18_2020,49.25
Jun_17_2020,49.54
Jun_16_2020,48.68
Jun_15_2020,46.98
Jun_12_2020,47.33
Jun_11_2020,47.39
Jun_10_2020,47.16
Jun_9_2020,46.85
Jun_8_2020,47.4
Jun_5_2020,47.85
Jun_4_2020,47.25
Jun_3_2020,47.52
Jun_2_2020,46.62
Jun_1_2020,46.66
May_29_2020,46.49
May_28_2020,46.23
May_27_2020,45.17
May_26_2020,44.4
May_25_2020,44.88
May_22_2020,44.05
May_21_2020,44.28
May_20_2020,44.48
May_19_2020,44.34
May_18_2020,45.23
May_15_2020,44.33
May_14_2020,44.35
May_13_2020,45.45
May_12_2020,45.87
May_11_2020,45.47
May_8_2020,45.0
May_7_2020,44.7
May_6_2020,43.94
May_5_2020,44.45
May_4_2020,44.36
Apr_30_2020,45.58
Apr_29_2020,45.32
Apr_28_2020,45.18
Apr_27_2020,45.39
Apr_24_2020,45.27
Apr_23_2020,45.9
Apr_22_2020,46.7
Apr_21_2020,46.13
Apr_20_2020,47.67
Apr_17_2020,45.68
Apr_16_2020,45.8
Apr_15_2020,45.99
Apr_14_2020,46.68
Apr_9_2020,45.69
Apr_8_2020,45.5
Apr_7_2020,46.01
Apr_6_2020,45.71
Apr_3_2020,44.25
Apr_2_2020,44.51
Apr_1_2020,43.78
Mar_31_2020,44.81
Mar_30_2020,43.75
Mar_27_2020,42.61
Mar_26_2020,43.24
Mar_25_2020,42.47
Mar_24_2020,42.2
Mar_23_2020,41.92
Mar_20_2020,44.8
Mar_19_2020,45.6
Mar_18_2020,43.45
Mar_17_2020,43.23
Mar_16_2020,40.29
Mar_13_2020,42.22
Mar_12_2020,42.75
Mar_11_2020,46.05
Mar_10_2020,45.83
Mar_9_2020,47.05
Mar_6_2020,49.05
Mar_5_2020,50.83
Mar_4_2020,50.4
Mar_3_2020,49.33
Mar_2_2020,48.53
Feb_28_2020,47.62
Feb_27_2020,49.87
Feb_26_2020,51.16
Feb_25_2020,51.52
Feb_24_2020,52.34
Feb_21_2020,53.92
Feb_20_2020,54.05
Feb_19_2020,54.86
Feb_18_2020,55.05
Feb_17_2020,55.0
Feb_14_2020,54.85
Feb_13_2020,54.7
Feb_12_2020,54.78
Feb_11_2020,54.75
Feb_10_2020,54.52
Feb_7_2020,54.51
Feb_6_2020,54.42
Feb_5_2020,53.97
Feb_4_2020,53.19
Feb_3_2020,52.97
Jan_31_2020,52.7
Jan_30_2020,52.45
Jan_29_2020,51.49
Jan_28_2020,51.88
Jan_27_2020,51.33
Jan_24_2020,51.86
Jan_23_2020,50.94
Jan_22_2020,51.11
Jan_21_2020,51.16
Jan_20_2020,51.04
Jan_17_2020,51.07
Jan_16_2020,50.68
Jan_15_2020,50.52
Jan_14_2020,50.22
Jan_13_2020,50.26
Jan_10_2020,50.3
Jan_9_2020,50.16
Jan_8_2020,49.82
Jan_7_2020,50.51
Jan_6_2020,50.96
Jan_3_2020,51.36
Jan_2_2020,51.38
Dec_31_2019,51.23
Dec_30_2019,51.46
Dec_27_2019,51.93
Dec_24_2019,51.45
Dec_23_2019,51.82
Dec_20_2019,51.68
Dec_19_2019,51.18
Dec_18_2019,50.95
Dec_17_2019,51.45
Dec_16_2019,54.99
Dec_13_2019,54.18
Dec_12_2019,53.77
Dec_11_2019,54.0
Dec_10_2019,54.41
Dec_9_2019,54.47
Dec_6_2019,54.38
Dec_5_2019,53.51
Dec_4_2019,53.84
Dec_3_2019,53.37
Dec_2_2019,53.26
Nov_29_2019,53.8
Nov_28_2019,53.51
Nov_27_2019,53.39
Nov_26_2019,53.22
Nov_25_2019,52.49
Nov_22_2019,52.65
