ATM_operator,Number_of_ATMs
Cardtronics,17564
NoteMachine,10506
NatWest,6966
PayPoint,3926
Barclays_bank_UK_Plc,3488
Bank_of_Ireland,2267
YourCash,2204
Santander,2109
Lloyds_bank,2041
Sainsbury's_Bank,1819
Halifax,1737
HSBC,1571
Nationwide_Building_Society,1351
TSB_Bank,754
Bank_of_Scotland,426
Travelex,362
Yorkshire_Bank,233
Northern_Bank,197
Clydesdale_bank,150
Moneycorp,141
ChangeGroup,83
AIB_Group,65
Coventry_Building_Society,60
Cumberland_Building_Society,20
Barclays_Bank,14
Citibank,4
G4S,4
