Occupation,Men's_earnings,Women's_earnings
Chief_executives,2509,2019
Software_developers_applications_and_systems_software,1920,1718
General_and_operations_managers,1476,1153
Accountants_and_auditors,1419,1141
Sales_representatives_wholesale_and_manufacturing,1262,1067
Elementary_and_middle_school_teachers,1161,1042
First-line_supervisors_of_production_and_operating_workers,1050,745
Electricians_,1015,0
First-line_supervisors_of_retail_sales_workers,955,708
Driver/sales_workers_and_truck_drivers,861,660
Carpenters_,826,0
Automotive_service_technicians_and_mechanics,811,0
Retail_salespersons,806,578
Production_workers_all_other,767,566
Customer_service_representatives,736,673
Construction_laborers_,724,0
Laborers_and_freight_stock_and_material_movers_hand,657,567
Janitors_and_building_cleaners,610,510
Grounds_maintenance_workers_,607,0
Cooks,535,489
