leading_food_and_beverage_companies,Number_of_employees
George_Weston_Limited,200000
McCain_Foods_Limited,17000
Cott_Corporation_,14200
La_Coop_fédérée,12541
Maple_Leaf_Foods,11000
Agropur_Co-operative,8000
Coca-Cola_Refreshments_Canada,5600
Kraft_Canada_Inc.,4656
Pepsico_Canada_ULC,4000
Nestlé_Canada_Inc.,3500
Molson_Coors_Canada,3100
Premium_Brands_Holdings_Corporation,3000
Maple_Lodge_Farms_Ltd.,2900
Exeldor_Cooperative_Avicole,2225
Lassonde_Industries_Inc.,2100
Sunrise_Farms,2100
Saputo_Inc.,2000
AGT_Food_and_Ingredients_Inc.,2000
Clearwater_Seafoods_Limited_,1900
SunOpta_Inc.,1754
High_Liner_Foods_Incorporated,1293
Gay_Lea_Foods_Co-operative_Limited,950
Kellogg_Canada_Inc.,850
Rogers_Sugar_Inc.,550
