Response,Share_of_respondents
Online_stores_(Amazon_Wal-mart_etc.),70
Fast_food_restaurant_(Chik-fil-a_McDonald’s_etc.),43
Entertainment_(music_movies_etc.),41
Coffee_shop_(Starbucks_Dunkin’_Donuts_etc.),37
Car_service/Taxi_(Uber_Lyft_etc.),35
Games_(Clash_of_Clans_Mobile_Strike_etc.),34
Speciality_retail_store_(Best_Buy_Office_Depot_Stapes_etc.),28
Grocery_store/supermarket,27
Gas_(Exxon_Mobil_Speedway_etc.),22
Transportation_(mass_transit_parking_fees_etc.),15
Car_sharing_services_(Zipcar_Car2go_RelayRides_etc.),9
Other_please_specify,0
