Response,Percentage_of_clinicians
Anxiety,23.5
Depression,18.9
Relationship_problem_(specific),7.3
Stress,5.9
Family,4.1
Trauma,3.6
Grief/loss,3.2
Interpersonal_functioning,3.1
Adjustment_to_new_environment,3
Academic_performance,2.9
Self-esteem/confidence,2.1
Sexual_abuse/assault_(victim),1.9
Eating/body_image,1.8
Other,1.7
Emotional_dysregulation,1.6
Suicidality,1.6
Mood_instability_(bi-polar_symptoms),1.3
Identity_development,1.2
Attention/concentration_difficulties,1
Alcohol,0.9
Perfectionism,0.8
Obessions_or_compulsions,0.8
Anger_management,0.8
Social_isolation,0.7
Career,0.7
Health/medical,0.6
Drugs,0.6
Legal/judicial/conduct,0.5
Harrassment/emotional_abuse_(victim),0.5
Self-injurious_thoughts_or_behaviors,0.4
Sleep,0.4
Gender_identity,0.4
Sexual_concern,0.3
Sexual_orientation,0.3
Physical_abuse/assult_(victim),0.2
Financial,0.2
Psychotic_thoughts_or_behaviors,0.2
Autism_spectrum,0.2
None,0.1
Religion/spirituality,0.1
Racial_ethnic_or_cultural_concerns,0.1
Addiction_(not_drugs_or_alcohol),0.1
Violent_thoughts_or_behaviors_towards_others,0.1
Pregnancy_related,0.1
Dissociative_experiences,0.1
Learning_disorder/disability,0
Stalking_(victim),0
Discrimination,0
