State,Number_of_stores
Texas,1552
Georgia,915
Florida,900
North_Carolina,870
Ohio,858
Tennessee,815
Alabama,796
Pennsylvania,781
Illinois,578
Michigan,574
Lousiana,574
Indiana,566
Kentucky,565
South_Carolina,564
Missouri,547
Mississippi,538
New_York,495
Oklahoma,461
Arkansas,452
Virginia,435
Iowa,264
West_Virginia,249
Kansas,247
California,226
Wisconsin,192
Minnesota,163
New_Jersey,148
Maryland,140
Nebraska,128
Arizona,121
New_Mexico,99
Connecticut,64
Maine,58
Oregon,57
South_Dakota,55
Colorado,51
Massachusetts,50
Delaware,47
North_Dakota,42
New_Hampshire,40
Vermont,37
Nevada,22
Rhode_Island,20
Utah,11
Wyoming,1
