province_of_Canada,Animal_Protection_Party,Bloc_Québécois,Christian_Heritage_Party,Conservative,Green_Party,Independent,Liberal,Libertarian,NDP-New_Democratic_Party,Parti_Rhinocéros_Party,People's_Party,Pour_l'Indépendance_du_Québec,VCP
Alberta,0,0,0.2,69.2,2.8,0.1,13.7,0,11.5,0,2.2,0,0.1
British_Columbia,0,0,0.1,34.1,12.4,0.9,26.1,0.1,24.4,0,1.7,0,0
Manitoba,0,0,0.5,45.4,5.1,0.2,26.3,0,20.7,0,1.7,0,0
New_Brunswick,0.2,0,0.1,32.8,17,0.7,37.6,0,9.4,0,2.1,0,0
Newfoundland_and_Labrador,0,0,0.1,28,3.1,0,44.7,0,23.9,0,0.1,0,0.2
Northwest_Territories,0,0,0,25.8,10.6,0,40,0,21.8,0,1.8,0,0
Nova_Scotia,0,0,0,25.7,11,1.5,41.3,0,18.9,0,1.2,0,0.2
Nunavut,0,0,0,25.8,2.1,0,31,0,41.2,0,0,0,0
Ontario,0,0,0.1,33.2,6.2,0.4,41.5,0.1,16.8,0,1.6,0,0
Prince_Edward_Island,0,0,0.5,27.4,20.8,0,43.6,0,7.6,0,0,0,0
Quebec,0,32.5,0,16,4.4,0.2,34.2,0,10.7,0.2,1.5,0.1,0
Saskatchewan,0,0,0,64.3,2.5,0.2,11.6,0,19.5,0,1.8,0,0
Yukon,0,0,0,33.1,10.3,0,33.4,0,21.8,0,1.4,0,0
