"Project_(state,_type)",Construction_starts_in_million_U.S._dollars
Automated_People_Mover_(APM)_-_Landside_Access_Modernization_Program_at_LAX(California_civil/engineering),2000
Project_Iris(Tennessee_industrial),630
Stonewall_Secure_Business_Park_-_Project_Kale_Data_Center(Virginia_commercial),600
P114_Medical_Center_addition/alteration_at_Naval_Support_Activity_Bethesda(Maryland_institutional),570
Los_Angeles_County_Museum_of_Art_-_David_Geffen_Galleries(California_institutional),490
Amazon_Fulfillment_Center_-_Legacy_Park/Olive_Branch(Mississippi_industrial),350
Hard_Rock_Casino_-_Gary(Indiana_commercial),300
Hilton_Hotel_Mixed-Use_Development/Hartsfield_Jackson_Atlanta_International_Airport(Georgia_commercial),300
P-3021_Hangar_21_Joint_Base_Andrews_Camp_Springs_MD(Maryland_institutional),298
Court_Square_Office_renovation_and_expansion_(New_York_industrial),240
