Month,Sales_in_million_Canadian_dollars
Sep_'20,2909.39
Aug_'20,2909.39
Jul_'20,2886.23
Jun_'20,3412.88
May_'20,3913.56
Apr_'20,3628.8
Mar_'20,2200.43
Feb_'20,1591.63
Jan_'20,1666.87
Dec_'19,2762.11
Nov_'19,2437.53
Oct_'19,1843.58
Sep_'19,1875.34
Aug_'19,1811.66
Jul_'19,1781.0
Jun_'19,1911.25
May_'19,1835.28
Apr_'19,1557.41
Mar_'19,1553.2
Feb_'19,1328.48
Jan_'19,1512.63
Dec_'18,2004.06
Nov_'18,2276.39
Oct_'18,1613.7
Sep_'18,1414.5
Aug_'18,1442.92
Jul_'18,1325.69
Jun_'18,1461.31
May_'18,1459.62
Apr_'18,1355.79
Mar_'18,1304.5
Feb_'18,1100.77
Jan_'18,1287.47
Dec_'17,1920.65
Nov_'17,1874.01
Oct_'17,1323.36
Sept_'17,1235.56
Aug_'17,1234.76
Jul_'17,1215.86
Jun_'17,1227.35
May_'17,1238.8
Apr_'17,1218.38
Mar_'17,1141.64
Feb_'17,953.18
Jan_'17,1110.05
Dec_'16,1757.31
Nov_'16,1427.87
Oct_'16,1067.24
Sept_'16,1016.2
Aug_'16,916.18
Jul_'16,874.36
Jun_'16,896.83
May_'16,916.24
Apr_'16,916.71
Mar_'16,865.68
Feb_'16,789.55
Jan_'16,877.35
