city,Daily_price_in_U.S._dollars
Saigon_(Ho_Chi_Minh_City)_Viet_Nam,19.49
Hanoi_Viet_Nam,19.7
Hoi_An_Viet_Nam,21.49
Vientiane_Laos,21.74
Yangon_Myanmar,21.77
Manila_Philippines,22.13
Pokhara_Nepal,22.52
Quito_Ecuador,22.8
Phnom_Penh_Cambodia,23.04
Chiang_Mai_Thailand,23.41
Granada_(Nicaragua)_Nicaragua,24.26
Jakarta_Indonesia,24.29
Kathmandu_Nepal,24.62
Delhi_India,24.65
Zanzibar_City_Tanzania,24.87
Colombo_Sri_Lanka,25.18
La_Paz_Bolivia,25.46
Goa_India,25.84
Luang_Prabang_Laos,26.43
Bucharest_Romania,27.07
