Response,Share_of_respondents
Email/_messenger_sites,78
Search_engines,73
Online_shopping_sites,70
News_&_weather_sites,64
Online_banking_sites,64
Social_networking_(including_video/_image_sharing_and_blogs/_forums),53
Price_comparison_sites,47
General_information_sites_(Encyclopaedia/_reference_sites),47
Local_transport_sites/maps_(train_times_route_planning_etc.),38
Sports_news/_scores_sites,35
Public_services/_local_authority_sites_(Government_health_council_information_etc.),33
TV_on_demand_sites,32
General_entertainment_(Gaming_films_music_etc.),32
International_travel/_holiday_sites,31
Tickets_sites,23
Local_entertainment_sites_(i.e._what's_going_on_in_your_local_area),22
Advice_sites,19
Gossip/_celebrity_news_sites,18
Property_sites,17
Adult_entertainment,12
Business_directories,9
I_use_other_types_of_sites,2
