payment_method,Revenue_in_million_NOK
Total_revenue,1446478
Sales_revenue,25874
Operating_surplus_extraction_of_petroleum,87200
Depreciation_etc._extraction_of_petroleum,22900
Depreciation_etc._other_central_government_enterprises,2785
Other_revenue_from_fixed_capital_formation,667
Total_transfers,1307052
Tax_revenue,865580
Members'_contributions_National_Insurance_Scheme,156500
Employers'_contributions_National_Insurance_Scheme,202600
Interest_and_dividends,59174
Transfers_from_other_state_accounts,102
Transfers_from_municipalities_and_county_authorities,1486
Transfers_from_the_central_bank,13900
Other_transfers,7710
