"earthquake,_country_and_year",Damage_in_billion_U.S._dollars
Earthquake_Tsunami_(Japan_2011),210.0
Hurricane_Katrina_(U.S._2005),125.0
Kobe_earthquake_(Japan_1995),100.0
Hurricane_Harvey(U.S._2017),85.0
Sichuan_earthquake_(China_2008),85.0
Hurricane_Sandy_(U.S._/_Canada_/_Caribbean_2012),68.5
Hurricane_Ima_(U.S._/_Caribbean_2017),67.0
Hurricane_Maria_(Caribbean_2017),63.0
Northridge_Earthquake_(U.S._1994),44.0
Flooding(Thailand_2011),43.0
Hurricane_Ike_(U.S._/_Caribbean_2008),38.0
Earthquake(Japan_2016),31.0
Earthquake_Tsunami_(Chile_2010),30.0
