Response,Share_of_respondents
Small_staff_transitions_in_staff,18
Donor_cultivation_acquisition_retention_communications,11
Economy_national_mood,10
Tax_law_impact_still_to_come,10
Organization_issues_(board_CEO/leadership_fundraising_budget),9
Local_issues_including_number_of_nonprofits_competing_for_dollars,8
Mission/purpose/programs,8
Ending_or_starting_a_campaign,6
"""Culture_of_philanthropy""_including_CRM_communications_plan_strategic_plan_etc.",6
Shifting_demographics,5
Institutional_donors_including_government_funding,5
Event_fundraising,2
Affected_by_disasters,1
