Online_Advertiser,Unique_users_in_millions
Ströer_Digital,36.77
Axel_Springer_Media_Impact,33.44
InteractiveMedia_CCSP,33.09
SevenOne_Media,32.52
TOMORROW_FOCUS_MEDIA,31.17
United_Internet_Media,30.95
IP_Deutschland,28.13
OMS,25.13
eBay_Advertising_Group_Deutschland,22.43
G+J_Electronic_Media_Sales,22.13
Yahoo!_Deutschland,20.62
iq_digital,17.14
SPIEGEL_QC,14.5
netpoint_media,10.39
BAUER_ADVERTISING,9.93
MAIRDUMONT_MEDIA,9.8
Urban_Media,8.46
Weischer_Online,8.11
Unister_Media,7.84
Triad_Retail_Media,7.26
