Occupation(s),Male,Female
Management,1120714,823876
Business_and_financial,393196,501582
Computer_and_mathematical,327465,109756
Architecture_and_engineering,263761,56137
Life_physical_and_social_science,75285,73256
Community_and_social_service,119341,262832
Legal,65122,109766
Educational_instruction_and_library,295851,853398
Arts_design_entertainment_sports_and_media,206432,172528
Health_diagnosing_and_treating_practitioners_and_other_technical,132517,357379
Health_technologists_and_technicians,115806,282332
Healthcare_support,149165,908497
Firefighting_and_prevention_and_other_protective_service,219320,79301
Law_enforcement_workers,174647,46852
Food_preparation_and_serving_related,1190502,1143849
Building_and_grounds_cleaning_and_maintenance,1129943,1056785
Personal_care_and_service,198029,577047
Sales_and_related,1171985,1440869
Office_and_administrative_support,813491,2063621
Farming_fishing_and_forestry,378785,136944
Construction_and_extraction,2779588,94317
Installation_maintenance_and_repair,899989,33692
Production,1322661,690055
Transportation,1104101,161376
Material_moving,1061380,459378
