Quarter,BT_Consumer,BT_Enterprise,BT_Global_Services,Openreach,BT_Wholesale,EE,Other
Q1_2012/13,959,849,1731,1270,678,0,19
Q2_2012/13,952,870,1757,1283,616,0,19
Q3_2012/13,953,875,1748,1286,645,0,21
Q4_2012/13,982,922,1934,1276,669,0,42
Q1_2013/14,950,785,1752,1245,638,0,18
Q2_2013/14,987,799,1743,1271,624,0,18
Q3_2013/14,1014,808,1847,1274,589,0,14
Q4_2013/14,1068,821,1927,1271,571,0,32
Q1_2014/15,1046,762,1647,1245,525,0,19
Q2_2014/15,1056,789,1649,1245,529,0,16
Q3_2014/15,1014,808,1847,1274,589,0,14
Q4_2014/15,1100,805,1789,1266,571,0,18
Q1_2015/16,1074,749,1543,1249,530,0,16
Q2_2015/16,1127,781,1599,1267,520,0,19
Q3_2015/16,1205,779,1675,1294,527,0,21
Q4_2015/16,1192,821,1753,1290,509,0,17
Q1_2016/17,1175,1165,1250,1236,453,1243,3
Q2_2016/17,1251,1178,1409,1232,440,1277,1
Q3_2016/17,1262,1195,1399,1258,448,1311,2
Q4_2016/17,1246,1220,1422,1258,454,1259,4
Q1_2017/18,2539,1648,1246,1287,429,1291,2
Q2_2017/18,2580,1680,1265,1299,430,1326,4
Q3_2017/18,2653,1681,1265,1379,425,1357,2
Q4_2017/18,2543,1708,1243,1320,424,1320,2
Q1_2018/19,2570,1561,1147,1255,459,0,1
Q2_2018/19,2654,1603,1185,1293,470,0,1
Q3_2018/19,2757,1552,1202,1256,0,0,2
Q4_2018/19,2610,1559,1201,1271,0,0,1
Q1_2019/20,2550,1483,1085,1268,0,0,1
Q2_2019/20,2644,1504,1111,1268,0,0,0
Q3_2019/20,2701,1458,1084,1281,0,0,0
Q4_2019/20,2493,1507,1081,1295,0,0,0
