major_nonsurgical_cosmetic_procedures,Cost_in_U.S._dollars
Botulinum_Toxin_Type_A_(Botox_Dysport),379
Calcium_hydroxylapatite_(Radiance),705
Chemical_peel,716
Fractional_resurfacing_-_micro-ablative,911
Hair_removal_(laser_or_pulsed_light),279
Hyaluronic_Acid_(including_Juvederm_Perlane/Restylane_Belotero_Prevelle_Elevess),625
IPL_laser_treatment,393
Laser_skin_resurfacing_-_ablative,2245
Nonsurgical_fat_reduction_(incl._CoolSculpting_Vaser_Shape_Liposonix),1522
Poly-L-Latic_Acid_(Sculptra),850
Sclerotherapy,400
