Response,Share_of_place_of_residence
For_validation,43.96
China,0.37
Quezon_city,11.08
San_Juan_city,5.6
Makati_city,4.25
Pasig_city,3.86
Manila,4.23
Mandaluyong_city,2.86
Cainta_Rizal,1.74
Paranaque_city,1.62
Taguig_city,3.11
Caloocan_city,1
Marikina_city,0.87
Pasay_city,0.87
Antipolo_Rizal,1.12
Batangas,0.75
Las_Pinas_city,1
Muntinlupa_city,0.87
Bacoor_Cavite,0.5
Bulacan,0.12
Santa_Rosa_city_Laguna,0.37
Taytay_Rizal,0.37
Valenzuela,0.25
San_Jose_Del_Monte_city_Bulacan,0.25
San_Ildefonso_Bulacan,0.25
Caba_La_Union,0.25
Binan_city_Laguna,0.37
Lucena_city_Quezon,0.25
Marawi_city_Lanao_del_Sur,0.25
Dasmarinas_city_Cavite,0.25
Davao_city_Davao_del_Sure,0.25
Floridablanca_Pampanga,0.12
Malolos_city_Bulaca,0.12
Manabo_Abra,0.12
Lemery_Batangas,0.12
Libmanan_Camarines_Sur,0.12
Limay_Bataan,0.12
Lipa_city_Batangas,0.12
General_Trias_city_Cavite,0.12
Guiguinto_Bulacan,0.12
Guimbal_Iloilo,0.12
Iloilo_city_Iloilo,0.12
Imus_city_Cavite,0.12
Bulacan,0.12
Bacolod_city_Negros_Oriental,0.12
Baguio_city_Benguet,0.25
Bais_city_Negros_oriental,0.12
Baliuag_Bulacan,0.12
Cabanatuan_city_Nueva_Ecija,0.12
Cabuyao_ciy_Laguna,0.25
Calamba_city_Laguna,0.12
Cotabato_city,0.12
Catarman_Northern_Samar,0.12
Cebu_city_Cebu,0.12
San_Isidro_Nueva_Ecija,0.12
San_Mateo_Rizal,0.12
Tanuan_city_Batangas,0.12
Tanza_Cavite,0.12
Tarala_city_Tarlac,0.12
Tayasan_Negros_Oriental,0.12
Zamboanga_city_Zamboanga_del_sur,0.12
Tuguegarao_city_Cagayan,0.12
Sariaya_Quezon,0.12
Silang_Cavite,0.12
Naic_Cavite,0.25
Orani_Bataan,0.12
Pantukan_Compostela_Valley,0.12
Masiu_Lanao_del_Sur,0.12
Meycauyan_city_Bulacan,0.12
Pateros,0.12
Porac_Pampanga,0.12
Puerto_Princesa_city_Palawan,0.12
Rosario_Cavite,0.12
Roxas_city_Capiz,0.12
San_Fernando_city_Pampanga,0.12
Lumban_Laguna,0.12
San_Pedro_city_Laguna,0.12
Rodriguez_Rizal,0.12
Cagayan_De_Oro_city_Misamis_Oriental,0.12
Barotac_Nuevo_Iloilo,0.12
Binangonan_Rizal,0.12
Cavite,0.12
Gattaran_Cagayan,0.12
Limbayong_Sultan_Kudarat,0.12
Tuao_Cagayan,0.12
