Response,Share_of_respondents
Too_busy_with_family_responsibilities,19
Outdoor_recreation_equipment_is_too_expensive,18
I_do_not_have_anyone_to_participate_with,16
Places_for_outdoor_recreation_are_too_far_away,13
Places_for_outdoor_recreation_are_too_expensive,13
I_do_not_have_the_skills_or_abilities,12
Too_busy_with_other_recreation_activities,12
I_have_a_physical_disability,9
I_do_not_have_enough_information,9
My_health_is_poor,8
I_have_no_way_to_get_to_venues_for_outdoor_recreation,6
Places_for_outdoor_recreation_are_too_crowded,5
Places_for_outdoor_recreation_are_poorly_maintained,4
I_have_household_members_with_a_physical_disability,4
I_am_afraid_of_getting_hurt_by_animals,3
Venues_for_outdoor_recreation_are_polluted,3
I_am_afraid_of_getting_hurt_by_other_people,3
Other_reason(s),12
