University_(ranking),Years_to_payback_debt
Chicago_(Booth)_-_Chicago_IL_(1),3.9
Stanford_-_Palo_Alto_CA_(2),4.2
Northwestern_(Kellogg)_-_Evanston_IL_(3),3.9
Harvard_-_Boston_MA_(4),4.1
Pennsylvania_(Wharton)_-_Philadelphia_PA_(5),4.1
Dartmouth_(Tuck)_-_Hanover_NH_(6),4.0
Columbia_-_New_York_NY_(7),4.1
MIT_(Sloan)_-_Cambridge_MA_(7),4.1
Cornell_(Johnson)_-_Ithaca_NY_(9),4.0
Michigan_(Ross)_-_Ann_Arbor_MI_(10),3.9
UC_Berkeley_(Haas)_-_Berkeley_CA_(11),4.1
Yale_-_New_Haven_CT_(11),3.9
Virginia_(Darden)_-_Charlottesville_VA_(13),4.0
Duke_(Fuqua)_-_Durham_NC_(14),4.0
UNC_(Kenan-Flagler)_-_Chapel_Hill_NC_(15),3.8
UCLA_(Anderson)_-_Los_Angeles_CA_(16),4.0
Carnegie_Mellon_(Tepper)_-_Pittsburgh_PA_(17),3.9
Texas-Austin_(McCombs)_-_Austin_TX_(18),4.1
Indiana_(Kelley)_-_Bloomington_IN_(19),3.7
NYU_(Stern)_-_New_York_NY_(20),4.1
