Month,Market_share
Dec_20,1.29
Nov_20,1.67
Oct_20,1.65
Sep_20,1.67
Aug_20,1.94
Jul_20,1.9
Jun_20,1.42
May_20,1.69
Apr_20,1.3
Mar_20,1.55
Feb_20,2.7
Jan_20,2.04
Dec_19,1.95
Nov_19,1.84
Oct_19,1.75
Sep_19,2
Aug_19,1.94
Jul_19,2.82
Jun_19,1.8
May_19,2.53
Apr_19,2.25
Mar_19,2.41
Feb_19,2.72
Jan_19,2.41
Dec_18,1.39
Nov_18,1.81
Oct_18,2.14
Sep_18,2.36
Aug_18,1.9
Jul_18,2.09
Jun_18,2.19
May_18,2.29
Apr_18,2.4
Mar_18,1.91
Feb_18,2.64
Jan_18,2.13
Dec_17,1.43
Nov_17,1.74
Oct_17,1.91
Sep_17,1.95
Aug_17,2.69
Jul_17,1.98
Jun_17,1.92
May_17,2.16
Apr_17,1.83
Mar_17,2.31
Feb_17,2.55
Jan_17,1.86
