County_in_the_United_States,Change_in_population
Williams_County_North_Dakota,67.8
Hays_County_Texas,46.5
Wasatch_County_Utah,44.9
Comal_County_Texas,43.9
Kendall_County_Texas,42.1
Sumter_County_Florida,41.7
Dallas_County_Iowa,41.3
Osceola_County_Florida,39.8
Williamson_County_Texas,39.8
St._Johns_County_Florida,39.3
Forsyth_County_Georgia,39.2
Fort_Bend_County_Texas,38.8
Lincoln_County_South_Dakota,36.4
Long_County_Georgia,36.4
Walton_County_Florida,34.6
Rockwall_County_Texas,33.9
Denton_County_Texas,33.9
Montgomery_County_Texas,33.3
Brunswick_County_North_Carolina,32.9
Collin_County_Texas,32.4
Loudoun_County_Virginia,32.4
Kaufman_County_Texas,31.7
St._Bernard_Parish_Louisiana,31.6
Horry_County_South_Carolina,31.6
Bryan_County_Georgia,31.2
