Players_(Team_vs_Opponent_-_Date),Number_of_runs_scored
Y_Anggraeni_K_Winda_Prastini_(Indonesia_vs_Philippines_-_2019),257
Nigar_Sultana_Fargana_Hoque_(Bangladesh_vs_Maldives_-_2019),236
P_Alako_R_Musamali_(Uganda_vs_Mali_-_2019),227
JE_Ronalds_CM_Gough_(Germany_vs_Austria_4th_T20i_-_2020),198
JE_Ronalds_CM_Gough_(Germany_vs_Austria_2nd_T20i_-_2020),191
FO_Kibasu_NJ_Pius_(Tanzania_vs_Mali_-_2019),183
SW_Bates_SFM_Devine_(New_Zealand_vs_South_Africa_-_2018),182
SA_Fritz_T_Chetty_(South_Africa_vs_Netherlands_-_2010),170
L_Lee_D_van_Niekerk_(South_Africa_vs_Pakistan_-_2014),163
HK_Matthews_CN_Nation_(West_Indies_vs_Ireland_-_2019),162
JE_Ronalds_CM_Gough_(Germany_vs_Oman_-_2020),158
KL_Rolton_KA_Blackwell_(Australia_vs_England_-_2005),147
L_Winfield_TT_Beaumont_(England_vs_Pakistan_-_2016),147
DN_Wyatt_TT_Beaumont_(England_vs_South_Africa_-_2018),147
MD_Bimenyimana_C_Uwamahoro_(Rwanda_vs_Mali_-_2019),146
