"Artist_(auction_house,_sale_year)",Value_of_sale_in_million_U.S._dollars
Jeff_Koons_(Christie's_New_York_2013),58.41
Gerhard_Richter_(Sotheby's_New_York_2013),37.13
Gerhard_Richter_(Sotheby's_London_2012),34.27
Jeff_Koons_(Christie's_New_York_2014),33.77
Jeff_Koons_(Christie's_New_York_2012),33.68
Gerhard_Richter_(Christie's_London_2014),32.56
Gerhard_Richter_(Christie's_New_York_2014),29.29
Gerhard_Richter_(Sotheby's_London_2014),28.91
Gerhard_Richter_(Sotheby's_New_York_2014),28.73
Jeff_Koons_(Sotheby's_New_York_2014),28.17
