YouTube_video,Number_of_views_in_billions
"""Baby_Shark_Dance""_-_Pinkfong_Kids'_Songs_&_Stories",7.05
"""Despacito""-_Luis_Fonsi_featuring_Daddy_Yankee",7.04
"""Shape_of_You""_-_Ed_Sheeran",5.05
"""See_You_Again""_-_Wiz_Khalifa_featuring_Charlie_Puth",4.79
"""Masha_and_the_Bear_–_Recipe_for_Disaster""_-_Get_Movies",4.36
"""Johny_Johny_Yes_Papa""_-_LooLoo_Kids",4.14
"""Uptown_Funk""_-_Mark_Ronson_featuring_Bruno_Mars",3.99
"""Gangnam_Style""_-_Psy",3.84
"""Learning_Colors_-_Colorful_Eggs_on_a_Farm""_-_Miroshka_TV",3.65
"""Sorry""_-_Justin_Bieber",3.36
