association_football_club,Team_value_in_million_U.S._dollars
Atlanta_United,500
LA_Galaxy,480
Los_Angeles_FC,475
Seattle_Sounders,405
Toronto_FC,395
Portland_Timbers,390
New_York_City_FC,385
Chicago_Fire,335
D.C._United,330
Sporting_Kansas_City,325
Minnesota_United,300
Orlando_City_SC,295
New_York_Red_Bulls,290
FC_Cincinnati,285
Houston_Dynamo,280
San_Jose_Earthquakes,275
New_England_Revolution,245
Philadelphia_Union,240
Real_Salt_Lake,235
FC_Dallas,220
Vancouver_Whitecaps,215
Montreal_Impact,210
Columbus_Crew,200
Colorado_Rapids,190
