player,Market_value_in_million_euros
Lionel_Messi_(Argentina),120
Cristiano_Ronaldo_(Portugal),100
Edinson_Cavani_(Uruguay),60
Neymar_(Brazil),60
Andrés_Iniesta_(Spain),55
Mario_Götze_(Germany),55
Luis_Suárez_(Uruguay),52
Cesc_Fàbregas_(Spain),50
Mesut_Özil_(Germany),50
Hulk_(Brazil),48
Wayne_Rooney_(England),45
Kun_Agüero_(Argentina),45
Eden_Hazard_(Belgium),45
Thomas_Müller_(Germany),45
Sergio_Busquets_(Spain),45
Paul_Pogba_(France),45
Arturo_Vidal_(Chile),44
Franck_Ribéry_(France),42
Bastian_Schweinsteiger_(Germany),40
Robin_van_Persie_(The_Netherlands),40
Luka_Modric_(Croatia),40
Thiago_Silva_(Brazil),40
Toni_Kroos_(Germany),40
Marco_Reus_(Germany),40
