Month,Attendance_in_millions
Dec_23-29,1.8
Dec_16-22,1.5
Dec_9-15,1.1
Dec_2-8,1.0
Nov_25-Dec_1,1.2
Nov_18-24,1.4
Nov_11-17,2.0
Nov_4-10,1.6
Oct_28-Nov_3,1.7
Oct_21-27,1.2
Oct_14-20,1.2
Oct_7-13,1.4
Sep_30-Oct_6,1.5
Sep_23-29,1.8
Sep_16-22,2.1
Sep_9-15,1.7
Sep_2-8,1.2
Aug_26-Sep_1,0.7
Aug_19-25,0.5
Aug_12-18,0.36
Aug_5-11,0.27
Jul_29-Aug_4,0.18
Jul_22-28,0.05
Jul_15-21,0.03
Jul_8-14,0.02
Jul_1-7,0.01
Jun_24-30,0.0
Jun_17-23,0.0
Jun_10-16,0.0
Jun_3-9,0.0
May_27-Jun_2,0.0
May_20-26,0.0
May_13-19,0.0
May_6-12,0.0
Apr_29-May_5,0.0
Apr_22-28,0.0
Apr_15-21,0.0
Apr_8-14,0.0
Apr_1-7,0.0
Mar_25-31,0.1
Mar_18-24,1.5
Mar_11-17,2.9
Mar_4-10,4.8
Feb_26-Mar_3,3.7
Feb_19-25,7.1
Feb_12-18,5.8
Feb_5-11,3.2
