Month,Number_of_registered_clients
January-March_2020,329038
October-December_2019,358864
July-September_2019,369614
April-June_2019,363917
January-March_2019,355302
October-December_2018,353642
July-September_2018,342103
April-June_2018,330344
January-March_2018,296702
October-December_2017,269502
July-September_2017,235621
April-June_2017,201398
January-March_2017,167754
October-December_2016,129876
July-September_2016,98460
April-June_2016,75166
January-March_2016,53649
October-December_2015,39668
July-September_2015,30537
April-June_2015,23930
