Month,Number_of_players_in_thousands
November_2020,438.92
October_2020,381.08
September_2020,403.69
August_2020,443.39
July_2020,469.57
June_2020,546.36
May_2020,553.12
April_2020,913.07
March_2020,562.03
February_2020,606.69
January_2020,645.41
December_2019,686.24
November_2019,695.92
October_2019,637.87
September_2019,660.86
August_2019,750.94
July_2019,745.22
June_2019,745.96
May_2019,817.6
April_2019,886.26
March_2019,931.41
February_2019,931.75
January_2019,1084.61
December_2018,1109.77
November_2018,895.65
October_2018,1048.66
September_2018,1125.23
August_2018,1260.89
July_2018,1350.46
June_2018,1750.22
May_2018,2175.7
April_2018,2456.36
March_2018,2799.27
February_2018,2934.76
January_2018,3236.03
December_2017,3080.77
November_2017,2915.72
October_2017,2390.95
September_2017,1550.46
August_2017,874.17
July_2017,481.29
June_2017,267.19
May_2017,189.46
April_2017,140.1
