Response,Share_of_internet_users
Buy_a_product_online,45
Buy_or_make_a_reservation_for_travel,20
Check_weather_reports_and_forecasts_online,55
Do_any_banking_online,55
Get_news_online,66
Look_for_news_and_information_about_politics,42
Participate_in_an_online_auction,14
Send_instant_messages,35
Send_or_read_e-mail,82
Use_a_search_engine_to_find_information,70
Use_a_social_networking_site,56
Use_classified_ads_sites_like_Craigslist,15
Watch_a_video_on_a_video-sharing_site,40
None_of_the_above,1
I_don’t_use_the_Internet,0
