Month,Number_of_downloads
Oct_31_2020,3628
Oct_30_2020,2328
Oct_29_2020,2328
Oct_28_2020,1993
Oct_27_2020,2158
Oct_26_2020,2459
Oct_25_2020,2847
Oct_24_2020,2906
Oct_23_2020,2608
Oct_22_2020,2571
Oct_21_2020,2648
Oct_20_2020,2779
Oct_19_2020,2994
Oct_18_2020,2651
Oct_17_2020,2379
Oct_16_2020,2157
Oct_15_2020,2082
Oct_14_2020,2066
Oct_13_2020,2116
Oct_12_2020,2181
Oct_11_2020,2188
Oct_10_2020,2174
Oct_9_2020,2068
Oct_8_2020,1960
Oct_7_2020,1970
Oct_6_2020,2026
Oct_5_2020,2009
Oct_4_2020,2176
Oct_3_2020,2066
Oct_2_2020,1982
Oct_1_2020,2028
Sep_30_2020,2055
Sep_29_2020,2197
Sep_28_2020,2378
Sep_27_2020,2429
Sep_26_2020,2273
Sep_25_2020,1987
Sep_24_2020,2116
Sep_23_2020,2305
Sep_22_2020,2510
Sep_21_2020,2630
Sep_20_2020,2260
Sep_19_2020,2093
Sep_18_2020,2166
Sep_17_2020,2196
Sep_16_2020,2215
Sep_15_2020,2452
Sep_14_2020,2303
Sep_13_2020,2223
Sep_12_2020,2118
Sep_11_2020,2107
Sep_10_2020,2006
Sep_9_2020,2094
Sep_8_2020,2250
Sep_7_2020,2418
Sep_6_2020,2820
Sep_5_2020,2601
Sep_4_2020,2284
Sep_3_2020,2189
Sep_2_2020,2454
Sep_1_2020,3025
Aug_31_2020,2329
Aug_30_2020,2206
Aug_29_2020,1910
Aug_28_2020,1847
Aug_27_2020,1795
Aug_26_2020,1938
Aug_25_2020,1984
Aug_24_2020,1987
Aug_23_2020,1861
Aug_22_2020,1736
Aug_21_2020,1696
Aug_20_2020,1890
Aug_19_2020,1947
Aug_18_2020,1859
Aug_17_2020,1826
Aug_16_2020,1793
Aug_15_2020,1773
Aug_14_2020,1574
Aug_13_2020,1681
Aug_12_2020,1829
Aug_11_2020,1927
Aug_10_2020,2035
Aug_9_2020,2105
Aug_8_2020,2359
Aug_7_2020,2451
Aug_6_2020,2355
Aug_5_2020,2425
Aug_4_2020,2393
Aug_3_2020,2642
Aug_2_2020,2589
Aug_1_2020,2540
Jul_31_2020,2513
Jul_30_2020,2609
Jul_29_2020,2769
Jul_28_2020,2356
Jul_27_2020,2993
Jul_26_2020,2926
Jul_25_2020,2838
Jul_24_2020,2480
Jul_23_2020,2362
Jul_22_2020,2392
Jul_21_2020,2290
Jul_20_2020,2607
Jul_19_2020,2703
Jul_18_2020,2709
Jul_17_2020,2738
Jul_16_2020,2600
Jul_15_2020,2628
Jul_14_2020,2513
Jul_13_2020,2463
Jul_12_2020,2480
Jul_11_2020,2516
Jul_10_2020,2303
Jul_9_2020,2426
Jul_8_2020,2503
Jul_7_2020,2509
Jul_6_2020,2824
Jul_5_2020,2885
Jul_4_2020,2504
Jul_3_2020,2196
Jul_2_2020,2049
Jul_1_2020,1915
Jun_30_2020,1985
