Consulting_firm,Average_prestige_score
McKinsey_&_Company,8.98
Boston_Consulting_Group_Inc.,8.74
Bain_&_Company,8.6
Deloitte_Consulting_LLP,7.12
PricewaterhouseCoopers_LLP_(Consulting_Practice),6.75
Booz_Allen_Hamilton,6.49
EY_(Ernst_&Young)_LLP_Consulting_Practice,6.47
Accenture,6.45
KPMG_LLP_(Consulting_Practice),6.16
Oliver_Wyman,6.07
IBM_Global_Services,5.78
Parthenon-EY,5.76
A.T._Kearney,5.75
Strategy&_(part_of_the_PwC_network),5.65
L.E.K._Consulting,5.47
Lockheed_Martin_Corporation_(IT_Consulting),5.19
Gartner_Inc.,4.99
Grant_Thornton_LLP_(Consulting_Practice),4.72
Capgemini,4.71
Mercer_LLC,4.7
Oracle_Consulting,4.58
GE_Healthcare_Partners,4.52
Northrop_Grumman_Corporation_(IT_Consulting),4.47
SAP_Services_(IT_Consulting),4.35
Navigant_Consulting,4.31
