company,Turnover_in_million_SEK
GE_Healthcare_Bio-Sciences_AB,15104
GE_Healthcare_BioProcess_R&D_AB,6334
Upplands_Motor_Holding_AB,5123
Beijer_Alma_AB,4409
Fresenius_Kabi_AB,4064
Phadia_AB,3783
Jötagruppen_AB,3140
Uppsala_Stadshus_AB,3047
Stora_Enso_Pulp_AB,2103
Erasteel_Kloster_AB,1373
Lars_Svensson_Holding_AB,1289
Q-Med_AB,1070
Didner_&_Gerge_Fonder_AB,957
Biotage_AB,911
Orexo_AB,783
Madhat_AB,633
Sallén_Förvaltning_AB,628
Relita_Industri_&_Skadeservice_AB,591
Angel_Fall_AB,589
Mellansvenska_Logistiktransporter_AB,568
