association_football_club,Enterprise_value_in_million_euros
Real_Madrid_CF,3478
Manchester_United_FC,3342
FC_Barcelona,3193
FC_Bayern_München,2878
Liverpool_FC,2658
Manchester_City_FC,2606
Chelsea_FC,2218
Tottenham_Hotspur_FC,2067
Paris_Saint-Germain_FC,1911
Arsenal_FC,1852
Juventus_FC,1735
Borussia_Dortmund,1281
Atlético_de_Madrid,1197
FC_Internazionale_Milano,983
FC_Schalke_04,814
AS_Roma,602
SSC_Napoli,590
West_Ham_United_FC,561
Leicester_City_FC_New,558
Olympique_Lyonnais,543
Everton_FC,533
AC_Milan,526
AFC_Ajax,432
SL_Benfica,410
Valencia_CF,408
Sevilla_FC,372
Galatasaray,366
SS_Lazio,328
Athletic_Club_Bilbao,320
FC_Porto,313
Beşiktaş_JK,310
Villarreal_CF,301
