Metropolitan_Statistical_Area,"Violent_crime_rate_per_100,000_inhabitnats"
Anchorage_AK,1194.6
Memphis_TN-MS-AR,1120.5
Albuquerque_NM,1043.4
Danville_IL,935.7
Pine_Bluff_AR,895.4
Odessa_TX,881.8
Alexandria_LA,849.2
Lubbock_TX,838.5
Florence_SC,823.4
Monroe_LA,812.5
Fairbanks_AK,794.5
Stockton_CA,788.5
Little_Rock-North_Little_Rock-Conway_AR,782.3
Wichita_KS,781.2
Corpus_Christi_TX,736.9
Sumter_SC,718.6
Albany_GA,717.6
Lawton_OK,716.4
Baltimore-Columbia-Towson_MD,698.7
Gainesville_FL,692.1
Rockford_IL,634.5
Springfield_MO,632.7
Battle_Creek_MI,624.0
Saginaw_MI,623.6
Bakersfield_CA,621.1
Jackson_TN,613.6
Amarillo_TX,595.4
Fort_Smith_AR-OK,585.7
Springfield_IL,584.0
Columbia_SC,583.4
Flint_MI,579.7
Milwaukee-Waukesha_WI,577.9
Kalamazoo-Portage_MI,572.5
Nashville-Davidson–Murfreesboro–Franklin_TN,570.5
Shreveport-Bossier_City_LA,563.2
Cleveland_TN,559.8
Las_Cruces_NM,556.9
Jonesboro_AR,556.0
Kokomo_IN,555.3
Baton_Rouge_LA,554.0
Merced_CA,553.2
New_Orleans-Metairie_LA,551.5
Niles_MI,550.7
Lake_Charles_LA,547.7
Napa_CA,543.4
Beaumont-Port_Arthur_TX,541.2
Rapid_City_SD,532.2
Greensboro-High_Point_NC,530.2
Tulsa_OK,529.6
Modesto_CA,529.1
