city_and_country,Turnover_in_million_DKK
Takeda_Pharma_A/S,84741
Novo_Nordisk_A/S,47615
Højbjerg_Maskinfabrik_A/S,44552
Ørsted_Wind_Power_A/S,28469
Danske_Bank_A/S,26288
Ball_A/S,23722
Lego_A/S,10510
A.P_Møller_og_Hustru_Chastine_Mc-Kinney_Møllers_Fond_Til_Almene_Formaal,10136
Lego_System_A/S,9223
Pandora_A/S,6582
Lundbeck_A/S,5289
Coloplast_A/S,3797
Augustinus_Fonden,3011
Chr._Augustinus_Fabrikker_Aktieselskab,2751
Sund_og_Bælt_Holding_A/S,2261
ISS_World_Services_A/S,2176
Bestseller_A/S,2175
Jysk_Holding_A/S,2149
Siemens_Gamesa_Renewable_Energy_A/S,2144
Danfoss_Power_Solutions_Holding_ApS,2134
