"Mine,_Country_(Company)",Possible_production,Target_capacity
VNC_Goro_New_Caledonia_(Vale),35,60
Onca_Puma_Brazil_(Vale),20,58
Ravensthorpe_Australia_(First_Quantum),33,40
Barro_Alto_Brazil_(Anglo_American),37,41
Ambatovy_Madagascar_(Sherritt_et_al.),45,60
Ramu_Papua_New_Guinea_(MCC_et_al.),25,31
Koniambo_New_Caledonia_(Xstrata),50,60
Taguang_Myanmar_(CNFMM_et_al.),18,22
Taganito_Philippines_(Sumitomo_et_al.),25,30
Sotkamo_Finland_(Talvivaara),25,50
Santa_Rita_Brazil_(Mirabela),23,24
Kevitsa_Finland_(First_Quantum),11,11
Nunavik_Canada_(Jien_Canada),18,17
Eagle_U.S._(Rio_Tinto),10,16
