Response,Share_of_respondents
The_Big_Bang_Theory,24
Two_and_a_Half_Men,20
Game_of_Thrones,18
The_Walking_Dead,17
How_I_Met_Your_Mother,14
The_Simpsons,14
King_of_Queens,13
Navy_CIS,12
Grey's_Anatomy,11
Tatort,11
Scrubs,11
Criminal_Minds,11
The_X_Files,10
Breaking_Bad,10
Fear_the_Walking_Dead,9
Gute_Zeiten_schlechte_Zeiten,9
Navy_CIS:_L.A.,9
CSI:_Miami,9
Dr._House,9
The_Flash,9
Alarm_für_Cobra_11_-_Die_Autobahnpolizei,9
Bones,9
Prison_Break,8
CSI,8
Supernatural,8
The_Mentalist,8
Sherlock,8
Star_Trek_-_Enterprise_/_Voyager_/_Deep_Space_9,8
Sex_and_the_City,8
Family_Guy,8
CSI:_NY,8
Castle,7
Law_&_Order,7
Rizzoli_&_Isles,7
American_Horror_Story,7
Arrow,7
Vampire_Diaries,7
South_Park,7
Desperate_Housewives,7
Dexter,7
Full_House,7
The_Blacklist,7
Supergirl,7
Friends,6
Mike_&_Molly,6
Stargate_-_Atlantis_/_Universe,6
The_100,6
House_of_Cards,6
Marvel's_Agents_of_S.H.I.E.L.D.,6
Malcolm_in_the_Middle,6
