Quarter,TVs,Video_Cameras,Digital_Cameras,PCs,Smartphones
Q4_'19,1.4,0,0.4,0,0.4
Q3_'19,3.4,0,0.9,0,1.3
Q2_'19,2.5,0,0.7,0,0.6
Q1_'19,2.0,0,0.8,0,0.9
Q4_'18,2.1,0,0.6,0,1.1
Q3_'18,3.8,0,1.1,0,1.8
Q2_'18,2.8,0,0.9,0,1.6
Q1_'18,2.6,0,1.0,0,2.0
Q4_'17,2.5,0,0.6,0,2.7
Q3_'17,4.2,0,1.4,0,4.0
Q2_'17,3.2,0,1.1,0,3.4
Q1_'17,2.5,0,1.3,0,3.4
Q4_'16,2.2,0,1.0,0,2.9
Q3_'16,4.1,0,1.6,0,5.1
Q2_'16,3.1,0,0.8,0,3.5
Q1_'16,2.7,0,0.8,0,3.1
Q4_'15,2.4,0,1.0,0,3.4
Q3_'15,4.2,0,1.8,0,7.6
Q2_'15,3.0,0,1.6,0,6.7
Q1_'15,2.6,0,1.7,0,7.2
Q4_'14,2.7,0,1.5,0,7.9
Q3_'14,4.7,0,2.6,0,11.9
Q2_'14,3.6,0,2.2,0,9.9
Q1_'14,3.6,0,2.2,0,9.4
Q4_'13,2.6,0.4,2.2,1.1,8.8
Q3_'13,4.5,0.7,3.4,1.7,10.7
Q2_'13,3.3,0.6,2.8,1.5,10.0
Q1_'13,3.1,0.6,3.1,1.3,9.6
Q4_'12,2.2,0.6,3.1,1.6,8.1
Q3_'12,4.2,1.1,4.9,2.2,8.7
Q2_'12,3.5,0.9,4.1,2,8.8
Q1_'12,3.6,1.1,4.9,1.8,7.4
